Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_multinomial_train_fold1.43	0.9999999999999976	0.956	0.461	46.1%	0.08	29.91%	0.28238	0.949
ATP2B4_multinomial_train_fold1.44	0.9999999999999974	0.952	0.485	48.5%	0.076	30.814%	0.28996	0.942
ATP2B4_multinomial_train_fold1.45	0.9999999999999974	0.969	0.384	38.4%	0.063	24.696%	0.24137	0.963
ATP2B4_multinomial_train_fold1.46	0.9999999999999973	0.96	0.445	44.5%	0.068	27.705%	0.27251	0.952
ATP2B4_multinomial_train_fold1.47	0.9999999999999972	0.974	0.384	38.4%	0.06	23.507%	0.24756	0.969
ATP2B4_multinomial_train_fold1.48	0.9999999999999967	0.974	0.409	40.9%	0.056	22.59%	0.24646	0.969
ATP2B4_multinomial_train_fold1.49	0.9999999999999978	0.958	0.43	43.0%	0.074	28.831%	0.25316	0.95
ATP2B4_multinomial_train_fold1.50	0.9999999999999964	0.979	0.391	39.1%	0.056	21.144%	0.24058	0.975
ATP2B4_multinomial_train_fold1.51	0.9999999999999978	0.972	0.446	44.6%	0.065	23.733%	0.30506	0.968
ATP2B4_multinomial_train_fold1.52	0.9999999999999978	0.968	0.411	41.1%	0.067	25.616%	0.25614	0.963
ATP2B4_multinomial_train_fold1.53	0.9999999999999973	0.969	0.434	43.4%	0.069	25.356%	0.25637	0.964
ATP2B4_multinomial_train_fold1.54	0.9999999999999974	0.945	0.5	50.0%	0.082	33.128%	0.30085	0.933
ATP2B4_multinomial_train_fold1.55	0.9999999999999969	0.973	0.396	39.6%	0.061	23.287%	0.22763	0.968
ATP2B4_multinomial_train_fold1.56	0.9999999999999973	0.971	0.431	43.1%	0.068	24.448%	0.27283	0.967
ATP2B4_multinomial_train_fold1.57	0.9999999999999967	0.981	0.363	36.3%	0.052	19.865%	0.22931	0.978
ATP2B4_multinomial_train_fold1.58	0.9999999999999967	0.985	0.331	33.1%	0.046	17.787%	0.21237	0.982
ATP2B4_multinomial_train_fold1.59	0.9999999999999973	0.969	0.396	39.6%	0.068	25.105%	0.27345	0.964
ATP2B4_multinomial_train_fold1.60	0.9999999999999968	0.947	0.513	51.3%	0.083	32.176%	0.30799	0.936
ATP2B4_multinomial_train_fold1.61	0.9999999999999969	0.979	0.372	37.2%	0.053	20.665%	0.21845	0.975
ATP2B4_multinomial_train_fold1.62	0.9999999999999973	0.966	0.401	40.1%	0.071	26.66%	0.24414	0.96
ATP2B4_multinomial_train_fold1.63	0.9999999999999961	0.965	0.443	44.3%	0.067	26.237%	0.27505	0.959
ATP2B4_multinomial_train_fold1.64	0.9999999999999969	0.952	0.496	49.6%	0.073	30.65%	0.27646	0.941
ATP2B4_multinomial_train_fold1.65	0.9999999999999971	0.974	0.395	39.5%	0.063	22.62%	0.23907	0.97
ATP2B4_multinomial_train_fold1.66	0.999999999999997	0.971	0.412	41.2%	0.063	23.948%	0.26537	0.966
ATP2B4_multinomial_train_fold1.67	0.9999999999999967	0.98	0.36	36.0%	0.053	20.131%	0.19442	0.976
ATP2B4_multinomial_train_fold1.68	0.9999999999999969	0.975	0.383	38.3%	0.057	22.259%	0.21037	0.971
ATP2B4_multinomial_train_fold1.69	0.9999999999999969	0.971	0.405	40.5%	0.059	23.91%	0.23035	0.965
ATP2B4_multinomial_train_fold1.70	0.999999999999997	0.952	0.459	45.9%	0.082	31.174%	0.24515	0.944
ATP2B4_multinomial_train_fold1.71	0.9999999999999974	0.96	0.443	44.3%	0.072	28.52%	0.28007	0.952
ATP2B4_multinomial_train_fold1.72	0.999999999999997	0.974	0.417	41.7%	0.061	22.805%	0.29791	0.969
ATP2B4_multinomial_train_fold1.73	0.999999999999997	0.974	0.396	39.6%	0.058	22.637%	0.22856	0.969
ATP2B4_multinomial_train_fold1.74	0.9999999999999971	0.969	0.418	41.8%	0.068	24.969%	0.28043	0.964
ATP2B4_multinomial_train_fold1.75	0.9999999999999972	0.964	0.405	40.5%	0.071	27.487%	0.21528	0.957
ATP2B4_multinomial_train_fold1.76	0.9999999999999973	0.966	0.444	44.4%	0.068	26.156%	0.29769	0.959
ATP2B4_multinomial_train_fold1.77	0.9999999999999968	0.976	0.379	37.9%	0.063	22.227%	0.25108	0.973
ATP2B4_multinomial_train_fold1.78	0.9999999999999971	0.978	0.374	37.4%	0.055	21.17%	0.22796	0.974
ATP2B4_multinomial_train_fold1.79	0.9999999999999967	0.963	0.443	44.3%	0.064	27.161%	0.24972	0.955
ATP2B4_multinomial_train_fold1.80	0.9999999999999969	0.98	0.389	38.9%	0.051	20.048%	0.23566	0.976
ATP2B4_multinomial_train_fold1.81	0.9999999999999973	0.959	0.486	48.6%	0.075	28.843%	0.28666	0.951
