Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R
BRCA_TCGA-AR-A2LO	0	1	1	1	1	0	0	0	0	0	0	0	0	2	1	2	1	7
BRCA_TCGA-AR-A2LQ	0	1	0	3	1	0	0	0	0	1	0	2	4	0	0	0	1	0
BRCA_TCGA-AR-A2LR	1	7	3	0	5	1	0	5	4	1	3	0	13	2	1	0	22	2
BRCA_TCGA-AR-A5QM	0	3	2	0	5	0	4	0	0	0	1	2	6	0	0	0	11	2
BRCA_TCGA-AR-A5QN	0	5	3	12	3	5	0	0	1	3	0	1	7	2	5	0	0	2
BRCA_TCGA-AR-A5QP	1	2	2	1	6	1	0	0	2	4	0	1	5	1	6	0	0	2
BRCA_TCGA-AR-A5QQ	1	1	0	15	1	5	0	0	8	9	0	7	9	11	4	4	11	10
BRCA_TCGA-B6-A0I1	0	1	5	1	18	0	0	1	6	2	0	1	2	3	9	0	17	14
BRCA_TCGA-B6-A0IH	0	7	3	3	2	3	0	1	2	2	2	0	4	0	2	0	2	8
BRCA_TCGA-B6-A0RH	0	0	1	0	8	0	0	3	5	1	0	0	0	10	13	0	0	4
BRCA_TCGA-B6-A0RL	1	3	2	14	4	0	0	0	11	2	0	0	6	10	10	2	0	4
BRCA_TCGA-B6-A0RM	0	2	1	3	7	4	0	2	1	2	0	0	1	3	4	0	3	3
BRCA_TCGA-B6-A0RN	0	3	2	5	5	1	2	0	4	2	0	2	0	0	3	1	3	0
BRCA_TCGA-B6-A0RO	0	1	6	2	0	1	1	0	7	0	3	4	8	3	0	1	0	6
BRCA_TCGA-B6-A0RP	0	3	0	4	0	0	0	0	2	1	0	1	8	0	2	0	6	3
BRCA_TCGA-B6-A0RQ	1	3	2	1	4	0	0	0	0	1	0	4	7	6	21	2	4	0
BRCA_TCGA-B6-A0RT	0	2	2	7	0	1	0	5	0	1	11	2	5	20	0	0	5	11
BRCA_TCGA-B6-A0RU	1	4	5	7	0	0	2	0	2	1	0	5	0	2	10	2	5	12
BRCA_TCGA-B6-A0RV	2	0	3	0	6	0	0	0	0	1	0	0	0	37	15	0	0	3
BRCA_TCGA-B6-A0WS	1	1	0	1	0	0	0	2	2	1	0	5	0	2	2	0	0	1
BRCA_TCGA-B6-A0WT	1	1	3	8	1	0	0	0	0	1	0	5	0	0	2	0	0	0
BRCA_TCGA-B6-A0WV	0	1	0	0	5	4	0	0	3	0	1	3	5	4	4	3	2	2
BRCA_TCGA-B6-A0WW	1	1	2	13	0	0	0	3	0	2	0	4	1	6	9	0	3	2
BRCA_TCGA-B6-A0WX	1	2	3	7	6	3	0	0	3	4	0	3	0	1	0	1	7	4
BRCA_TCGA-B6-A0WY	0	5	3	0	2	3	2	0	1	2	0	1	0	7	3	0	4	2
BRCA_TCGA-B6-A0WZ	1	2	4	1	1	0	0	0	3	0	0	0	0	38	43	0	0	2
BRCA_TCGA-B6-A0X0	1	0	1	7	1	0	0	0	0	0	1	2	0	1	3	0	5	3
BRCA_TCGA-B6-A0X1	2	1	6	4	1	4	2	0	7	7	0	8	14	19	7	0	8	2
BRCA_TCGA-B6-A0X4	3	0	5	5	1	0	0	0	1	0	0	0	3	0	1	0	2	1
BRCA_TCGA-B6-A0X5	6	2	8	3	0	0	0	2	4	4	1	4	0	3	4	0	7	0
BRCA_TCGA-B6-A0X7	0	1	2	1	4	3	0	0	0	0	0	1	2	3	3	0	3	0
BRCA_TCGA-B6-A1KN	5	4	0	2	5	0	1	0	7	2	6	4	10	3	7	0	13	3
BRCA_TCGA-B6-A2IU	0	4	7	8	1	6	0	0	0	0	0	3	4	7	13	0	0	1
BRCA_TCGA-B6-A401	0	5	2	0	3	0	0	0	4	0	0	0	7	1	0	1	3	2
BRCA_TCGA-B6-A409	0	4	3	6	6	0	0	0	3	0	4	4	7	5	3	2	9	0
BRCA_TCGA-B6-A40B	1	3	0	8	1	4	0	0	1	0	0	4	8	10	16	0	5	5
BRCA_TCGA-B6-A40C	3	2	0	5	15	3	0	0	1	1	0	2	3	2	8	0	7	2
BRCA_TCGA-BH-A0AU	0	2	0	0	3	2	0	0	1	0	5	0	0	3	0	1	4	2
BRCA_TCGA-BH-A0AV	2	2	3	0	0	5	2	4	5	4	0	6	19	16	0	0	8	11
BRCA_TCGA-BH-A0AY	1	2	5	2	5	0	0	0	3	0	2	1	5	4	3	0	8	5
BRCA_TCGA-BH-A0AZ	1	0	0	6	0	3	0	3	4	0	3	4	1	16	7	3	9	10
BRCA_TCGA-BH-A0B0	1	4	10	0	1	0	0	0	0	0	0	0	0	36	45	0	0	2
BRCA_TCGA-BH-A0B3	1	2	1	3	1	0	2	0	0	0	0	0	0	2	2	0	3	1
BRCA_TCGA-BH-A0B6	17	3	70	26	4	12	0	0	0	0	0	0	21	746	391	0	0	0
BRCA_TCGA-BH-A0B7	0	4	5	7	1	0	0	0	1	1	0	0	8	11	0	4	0	0
BRCA_TCGA-BH-A0B8	1	1	1	0	2	2	0	0	5	0	0	0	4	0	10	0	8	0
BRCA_TCGA-BH-A0BA	0	2	1	0	2	2	0	2	2	0	2	3	0	6	4	0	1	2
BRCA_TCGA-BH-A0BC	0	4	3	1	5	0	0	3	1	0	0	1	4	6	8	0	1	8
BRCA_TCGA-BH-A0BF	0	2	2	2	2	2	0	0	2	0	3	4	3	7	0	0	2	2
BRCA_TCGA-BH-A0BG	0	3	0	2	1	0	2	0	1	1	1	1	6	9	0	0	12	6
BRCA_TCGA-BH-A0BJ	0	1	1	0	1	0	0	0	2	1	2	0	0	0	1	0	5	3
BRCA_TCGA-BH-A0BL	3	3	4	7	6	0	0	1	0	2	2	1	6	3	0	1	25	5
BRCA_TCGA-BH-A0BM	1	1	0	3	0	0	0	0	2	1	0	0	5	2	1	0	3	0
BRCA_TCGA-BH-A0BO	0	1	2	2	3	2	0	0	3	0	0	11	2	4	0	0	0	1
BRCA_TCGA-BH-A0BP	4	7	14	20	11	10	1	0	7	0	5	2	20	43	16	0	22	14
BRCA_TCGA-BH-A0BQ	1	1	2	5	2	1	0	0	2	0	0	0	3	2	0	0	3	8
BRCA_TCGA-BH-A0BS	0	1	0	3	1	0	0	0	3	1	0	3	6	1	1	0	3	0
BRCA_TCGA-BH-A0BT	1	6	2	8	1	0	0	0	3	1	0	4	5	1	11	0	0	5
BRCA_TCGA-BH-A0BV	0	1	1	0	3	3	0	0	0	0	0	1	8	3	3	0	1	0
BRCA_TCGA-BH-A0BW	0	3	3	3	6	5	4	2	7	2	1	7	5	13	3	3	15	21
BRCA_TCGA-BH-A0BZ	14	13	2	8	4	17	2	7	15	9	7	12	34	45	6	5	75	21
BRCA_TCGA-BH-A0C0	0	2	2	4	1	2	9	0	0	0	0	4	0	2	7	0	8	7
BRCA_TCGA-BH-A0C1	0	7	1	2	5	4	0	0	8	1	0	0	5	4	5	1	7	0
BRCA_TCGA-BH-A0C3	0	0	1	0	3	0	0	0	1	4	2	1	1	0	0	0	5	0
BRCA_TCGA-BH-A0C7	0	4	3	0	11	6	4	3	0	2	0	1	3	4	0	0	17	0
BRCA_TCGA-BH-A0DD	0	6	3	0	6	0	0	0	1	3	0	1	5	4	4	0	2	2
BRCA_TCGA-BH-A0DE	1	0	1	0	3	3	0	0	0	2	1	0	13	0	5	0	4	0
BRCA_TCGA-BH-A0DG	1	0	7	0	1	5	1	0	2	1	2	2	4	14	0	2	5	0
BRCA_TCGA-BH-A0DH	0	3	3	5	6	2	0	2	5	0	0	3	2	9	6	1	0	5
BRCA_TCGA-BH-A0DI	0	5	0	5	5	0	2	2	0	0	0	1	0	18	12	0	6	6
BRCA_TCGA-BH-A0DK	3	0	0	9	5	1	0	1	1	5	2	2	0	5	5	0	12	2
BRCA_TCGA-BH-A0DL	1	7	2	10	3	4	0	0	1	1	2	4	1	12	7	4	1	5
BRCA_TCGA-BH-A0DO	0	4	4	0	1	0	0	0	4	1	0	0	4	5	0	0	2	5
BRCA_TCGA-BH-A0DP	0	0	1	4	0	0	0	0	1	1	0	1	1	1	6	0	3	0
BRCA_TCGA-BH-A0DQ	0	1	0	9	2	5	0	0	0	3	3	0	6	2	0	0	1	3
BRCA_TCGA-BH-A0DT	0	1	0	0	4	0	0	2	2	0	0	0	1	2	2	0	0	1
BRCA_TCGA-BH-A0DV	0	0	0	0	0	2	0	0	0	1	0	0	4	2	2	1	2	1
BRCA_TCGA-BH-A0DX	1	2	4	0	7	0	0	0	0	0	0	0	0	27	19	0	14	3
BRCA_TCGA-BH-A0DZ	4	0	13	1	2	0	0	4	0	0	2	1	0	138	52	0	0	0
BRCA_TCGA-BH-A0E0	0	2	2	4	5	0	2	0	0	0	0	0	2	1	2	3	0	1
BRCA_TCGA-BH-A0E1	0	1	3	0	6	0	0	0	1	0	0	0	0	7	0	1	0	0
BRCA_TCGA-BH-A0E9	0	4	0	9	2	0	2	0	4	0	2	1	1	0	3	0	0	0
BRCA_TCGA-BH-A0EA	0	3	3	0	2	6	0	0	2	0	0	1	4	3	0	0	5	3
BRCA_TCGA-BH-A0EI	0	2	1	6	2	0	0	0	2	2	0	2	4	0	3	0	0	0
BRCA_TCGA-BH-A0H3	0	1	0	0	3	0	0	0	0	0	0	0	3	0	2	0	6	2
BRCA_TCGA-BH-A0H5	6	1	13	0	1	0	0	0	0	0	0	0	9	85	54	0	0	0
BRCA_TCGA-BH-A0H7	1	1	1	0	4	0	2	0	0	2	0	2	0	4	0	0	0	0
BRCA_TCGA-BH-A0H9	0	1	1	0	1	1	0	0	0	3	0	0	1	1	4	4	6	0
BRCA_TCGA-BH-A0HA	0	38	11	24	56	36	10	0	25	86	0	36	12	27	14	6	0	1
BRCA_TCGA-BH-A0HI	3	0	1	7	4	1	0	2	0	3	0	0	4	3	6	0	1	0
BRCA_TCGA-BH-A0HK	0	5	4	0	4	0	0	0	2	0	0	0	4	15	27	0	2	0
BRCA_TCGA-BH-A0HN	0	1	4	6	4	0	0	0	0	0	2	2	3	3	4	0	1	4
BRCA_TCGA-BH-A0HP	11	2	14	0	7	0	3	0	0	0	0	0	0	195	125	0	0	0
BRCA_TCGA-BH-A0RX	0	2	5	18	8	0	0	0	4	1	0	3	1	3	2	0	0	2
BRCA_TCGA-BH-A0W3	1	0	0	4	1	0	0	0	1	0	0	3	4	3	0	0	2	4
BRCA_TCGA-BH-A0W4	0	1	5	0	4	0	0	2	1	2	0	3	1	6	7	0	3	4
BRCA_TCGA-BH-A0W5	1	3	2	7	2	0	0	0	3	2	3	2	1	0	0	0	2	1
BRCA_TCGA-BH-A0W7	4	0	13	2	1	0	0	0	0	0	0	6	6	172	57	0	0	0
BRCA_TCGA-BH-A0WA	3	0	0	10	3	1	4	0	10	0	0	6	8	7	30	0	5	26
BRCA_TCGA-BH-A18F	3	0	6	3	9	2	2	0	0	0	0	1	5	6	24	0	6	0
BRCA_TCGA-BH-A18G	18	179	35	137	162	192	122	0	199	318	6	206	41	0	0	16	0	37
BRCA_TCGA-BH-A18H	0	1	2	2	2	7	0	0	4	3	0	2	3	6	12	2	6	2
BRCA_TCGA-BH-A18I	0	4	3	9	2	0	0	0	2	1	0	0	0	3	4	0	1	2
BRCA_TCGA-BH-A18J	2	4	1	5	0	2	2	2	1	2	0	1	0	55	29	0	1	4
BRCA_TCGA-BH-A18K	1	2	4	3	0	2	0	0	1	3	0	1	10	23	6	2	0	10
BRCA_TCGA-BH-A18L	2	7	3	7	8	2	4	1	3	4	0	0	6	3	3	0	5	7
BRCA_TCGA-BH-A18M	0	0	1	8	1	2	0	0	0	0	0	0	1	3	2	0	0	0
BRCA_TCGA-BH-A18N	0	7	2	1	6	0	0	0	1	5	0	6	0	1	0	1	9	4
BRCA_TCGA-BH-A18P	1	5	28	0	10	2	5	0	1	0	0	0	1	232	153	0	0	0
BRCA_TCGA-BH-A18Q	1	1	1	1	3	5	4	0	6	0	4	5	10	9	4	2	41	10
BRCA_TCGA-BH-A18R	2	0	1	0	3	0	0	2	4	0	1	7	0	3	11	0	6	2
BRCA_TCGA-BH-A18S	1	2	2	0	1	1	1	0	3	4	1	1	1	2	0	0	5	12
BRCA_TCGA-BH-A18T	1	2	2	4	3	9	7	3	6	6	2	0	5	19	3	0	25	5
BRCA_TCGA-BH-A18U	0	4	4	19	8	0	5	0	10	0	0	7	8	48	48	0	9	8
BRCA_TCGA-BH-A18V	12	0	4	8	1	0	3	3	11	0	6	16	5	98	18	6	45	14
BRCA_TCGA-BH-A1EO	0	6	3	8	10	0	0	0	0	0	0	0	6	3	5	0	5	4
BRCA_TCGA-BH-A1ET	3	2	1	6	3	3	0	2	1	3	0	2	3	1	0	0	2	1
BRCA_TCGA-BH-A1EU	0	1	1	0	5	0	0	0	1	4	0	3	2	0	6	0	8	3
BRCA_TCGA-BH-A1EV	2	4	10	17	4	0	0	0	5	5	0	2	4	50	26	0	0	0
BRCA_TCGA-BH-A1EW	0	1	2	0	1	0	0	0	2	1	0	1	1	0	10	0	1	1
BRCA_TCGA-BH-A1EX	0	3	5	2	3	0	0	0	1	4	0	3	4	0	0	0	8	2
BRCA_TCGA-BH-A1EY	0	2	5	7	4	4	0	0	3	5	0	2	2	14	0	0	5	2
BRCA_TCGA-BH-A1F0	3	3	4	7	2	1	3	0	0	2	0	5	18	20	0	0	21	6
BRCA_TCGA-BH-A1F2	3	4	2	16	5	2	2	0	1	3	0	0	6	11	10	0	3	3
BRCA_TCGA-BH-A1F5	1	0	2	9	4	0	2	0	1	0	0	0	8	1	6	0	0	10
BRCA_TCGA-BH-A1F6	0	4	1	4	6	7	0	2	0	0	0	2	4	6	4	2	5	6
BRCA_TCGA-BH-A1F8	5	0	8	11	6	1	0	0	2	0	0	1	7	81	66	0	0	4
BRCA_TCGA-BH-A1FC	3	9	5	0	12	0	2	6	8	8	3	0	5	32	11	5	14	7
BRCA_TCGA-BH-A1FE	1	2	2	1	0	0	0	0	0	1	1	0	5	3	4	1	5	0
BRCA_TCGA-BH-A1FG	0	2	1	0	3	0	2	3	3	0	0	1	1	1	1	0	0	3
BRCA_TCGA-BH-A1FH	0	2	0	0	10	0	0	0	2	0	0	0	1	0	14	1	2	1
BRCA_TCGA-BH-A1FJ	0	1	0	3	9	2	0	2	1	0	1	0	12	0	7	0	7	0
BRCA_TCGA-BH-A1FL	0	3	2	3	1	0	0	1	0	0	0	3	8	1	2	0	2	0
BRCA_TCGA-BH-A1FM	0	5	7	3	6	0	0	0	1	1	6	0	1	15	9	0	6	2
BRCA_TCGA-BH-A1FN	2	2	1	5	0	2	0	3	3	0	6	4	14	70	0	4	17	13
BRCA_TCGA-BH-A1FR	0	2	1	2	1	0	0	0	2	0	0	2	0	1	2	0	4	0
BRCA_TCGA-BH-A1FU	3	6	7	1	5	5	2	4	6	7	0	10	11	21	1	6	12	11
BRCA_TCGA-BH-A201	2	1	2	4	0	0	1	0	3	1	2	5	0	0	5	0	0	1
BRCA_TCGA-BH-A202	3	2	1	5	2	0	0	0	4	3	1	0	0	2	1	0	2	2
BRCA_TCGA-BH-A203	1	7	10	9	14	0	6	0	8	0	0	3	9	21	3	0	1	7
BRCA_TCGA-BH-A204	3	4	3	0	4	0	2	0	4	2	0	1	11	5	3	0	6	4
BRCA_TCGA-BH-A208	0	0	3	7	6	0	0	0	2	1	0	4	12	32	11	0	4	0
BRCA_TCGA-BH-A209	1	0	8	6	1	3	0	0	0	0	0	1	7	79	11	0	0	2
BRCA_TCGA-BH-A28Q	0	4	1	5	2	0	0	0	4	0	0	0	2	2	1	2	3	0
BRCA_TCGA-BH-A2L8	6	1	26	0	10	1	0	0	1	0	0	0	0	397	186	0	0	0
BRCA_TCGA-BH-A42U	0	0	3	0	3	0	0	0	0	0	1	1	0	8	15	0	1	0
BRCA_TCGA-BH-A42V	0	0	4	3	3	0	0	0	0	1	0	0	2	26	16	0	0	0
BRCA_TCGA-BH-A5IZ	3	2	0	3	10	3	4	0	0	4	0	1	6	7	17	0	21	15
BRCA_TCGA-BH-A5J0	1	6	8	3	4	0	2	3	0	0	0	3	2	26	41	0	3	0
BRCA_TCGA-BH-A6R8	0	3	3	0	8	2	0	0	2	1	0	2	0	2	8	0	6	0
BRCA_TCGA-BH-A6R9	1	1	2	4	1	1	0	0	1	0	3	1	3	0	2	0	2	3
BRCA_TCGA-BH-A8FY	1	5	0	0	2	3	0	0	3	0	1	4	7	4	11	0	5	10
BRCA_TCGA-BH-A8FZ	3	7	2	1	3	4	1	3	2	5	3	4	0	10	7	4	14	18
BRCA_TCGA-BH-A8G0	0	0	2	5	1	2	0	0	0	2	0	2	1	0	1	1	0	0
BRCA_TCGA-BH-AB28	0	6	1	3	4	3	4	3	1	0	0	1	0	2	6	2	0	7
BRCA_TCGA-C8-A12K	4	5	1	0	8	3	2	1	4	3	0	9	21	67	0	2	22	21
BRCA_TCGA-C8-A12L	0	5	3	0	4	7	0	0	10	0	8	1	11	7	0	0	20	13
BRCA_TCGA-C8-A12M	0	6	9	4	10	9	4	7	3	1	0	3	9	2	0	0	5	10
BRCA_TCGA-C8-A12N	1	1	0	7	4	0	0	0	4	4	0	0	0	4	0	0	2	0
BRCA_TCGA-C8-A12O	1	2	3	10	10	0	2	0	0	0	0	2	4	1	6	0	0	8
BRCA_TCGA-C8-A12P	4	3	12	18	7	3	0	2	5	2	0	2	4	83	37	5	3	12
BRCA_TCGA-C8-A12Q	4	2	12	9	0	4	1	0	0	2	4	4	5	60	28	0	2	2
BRCA_TCGA-C8-A12T	8	2	9	0	11	6	2	0	1	0	0	0	7	133	35	0	0	0
BRCA_TCGA-C8-A12U	0	0	0	20	7	6	0	0	0	0	0	2	8	9	0	0	1	8
BRCA_TCGA-C8-A12V	0	0	2	0	5	2	6	3	6	0	3	2	0	5	0	2	4	12
BRCA_TCGA-C8-A12W	1	2	7	17	19	2	0	0	4	6	1	1	4	5	0	0	0	8
BRCA_TCGA-C8-A12X	0	5	3	20	3	2	2	0	4	1	0	3	8	1	2	4	1	6
BRCA_TCGA-C8-A12Y	0	8	2	1	7	1	3	3	5	3	1	5	0	2	1	0	3	1
BRCA_TCGA-C8-A12Z	1	2	2	8	6	4	0	0	2	1	0	2	4	16	13	0	0	0
BRCA_TCGA-C8-A130	0	4	6	8	11	0	0	0	2	1	0	7	2	6	0	1	5	1
BRCA_TCGA-C8-A131	1	8	8	0	2	0	0	1	7	2	3	3	8	1	13	2	11	4
BRCA_TCGA-C8-A132	1	2	2	0	8	0	0	0	7	3	0	1	7	32	2	2	11	6
BRCA_TCGA-C8-A133	1	0	2	0	0	0	3	0	3	0	2	3	4	2	4	1	6	2
BRCA_TCGA-C8-A134	9	2	2	0	2	1	5	3	7	0	11	7	15	8	0	0	23	22
BRCA_TCGA-C8-A135	1	9	5	9	11	7	1	0	0	5	2	1	0	9	0	0	12	5
BRCA_TCGA-C8-A137	0	2	7	0	8	0	0	0	0	1	0	0	3	20	14	2	5	0
BRCA_TCGA-C8-A138	4	1	1	10	6	2	4	0	1	5	0	0	5	0	4	0	9	0
BRCA_TCGA-C8-A1HE	0	2	2	4	1	0	0	0	2	0	0	2	6	16	15	0	0	4
BRCA_TCGA-C8-A1HF	1	2	2	3	1	2	2	0	0	0	1	3	2	8	7	0	0	5
BRCA_TCGA-C8-A1HG	0	6	3	15	6	3	0	0	2	5	2	3	5	4	10	0	2	3
BRCA_TCGA-C8-A1HI	1	1	1	0	17	6	0	0	5	4	2	0	3	14	7	0	11	0
BRCA_TCGA-C8-A1HJ	2	3	2	10	2	2	3	0	10	4	10	10	0	16	0	5	26	19
BRCA_TCGA-C8-A1HK	2	3	6	9	0	7	0	0	1	2	2	2	1	27	0	0	9	2
BRCA_TCGA-C8-A1HL	1	5	1	2	0	1	1	2	5	0	3	2	9	0	0	0	5	0
BRCA_TCGA-C8-A1HM	12	7	21	10	8	4	0	0	4	0	1	8	18	298	38	1	18	0
BRCA_TCGA-C8-A1HN	1	3	1	9	9	2	0	2	2	0	3	7	9	3	7	0	11	1
BRCA_TCGA-C8-A1HO	3	0	1	2	5	3	2	2	0	1	0	0	6	11	6	0	7	0
BRCA_TCGA-C8-A26V	1	5	7	5	2	1	0	0	0	0	0	7	6	50	0	2	7	3
BRCA_TCGA-C8-A26W	0	2	7	1	3	2	0	0	0	2	0	4	6	22	16	0	0	4
BRCA_TCGA-C8-A26X	1	4	3	23	0	0	0	0	7	2	7	4	9	4	3	1	4	3
BRCA_TCGA-C8-A26Y	24	0	37	48	0	5	3	12	0	2	0	3	3	519	186	20	38	16
BRCA_TCGA-C8-A26Z	1	6	2	12	4	0	0	0	3	0	0	0	4	0	4	1	8	4
BRCA_TCGA-C8-A273	1	1	2	0	5	2	0	0	0	0	0	2	3	1	0	1	6	0
BRCA_TCGA-C8-A274	4	8	12	5	4	2	4	0	4	0	2	3	0	146	64	0	5	18
BRCA_TCGA-C8-A275	0	2	10	3	4	10	0	0	2	0	0	1	6	82	18	2	1	1
BRCA_TCGA-C8-A278	1	0	4	3	8	4	0	0	2	2	0	1	0	12	5	0	11	0
BRCA_TCGA-C8-A27A	4	2	4	1	3	0	0	2	0	0	0	2	7	7	2	0	2	4
BRCA_TCGA-C8-A27B	3	5	5	1	2	6	2	1	0	5	1	7	5	88	0	6	25	0
BRCA_TCGA-C8-A3M7	4	6	15	9	7	0	4	0	0	0	0	3	0	68	105	0	0	0
BRCA_TCGA-C8-A3M8	0	6	3	0	6	0	0	0	2	5	0	5	9	13	0	0	7	6
BRCA_TCGA-C8-A8HP	5	6	23	10	1	0	2	0	8	0	0	0	0	153	60	0	1	4
BRCA_TCGA-C8-A8HQ	3	1	33	6	14	0	8	0	0	0	0	2	5	215	83	0	0	2
BRCA_TCGA-C8-A8HR	0	4	2	10	2	0	0	5	0	2	2	6	8	3	4	5	0	7
BRCA_TCGA-C8-A9FZ	0	5	1	3	5	4	0	0	0	2	0	0	0	5	0	0	4	0
BRCA_TCGA-D8-A13Y	1	2	3	3	5	5	0	2	2	2	4	6	9	13	14	2	1	8
BRCA_TCGA-D8-A13Z	2	4	3	24	4	0	0	0	10	0	0	0	5	17	0	7	16	11
BRCA_TCGA-D8-A140	1	10	5	1	11	8	1	3	8	6	3	0	9	10	35	0	19	4
BRCA_TCGA-D8-A141	0	0	0	9	1	0	0	0	1	1	0	0	4	0	0	0	5	0
BRCA_TCGA-D8-A142	1	10	8	3	25	1	3	7	2	9	7	3	25	17	0	7	33	5
BRCA_TCGA-D8-A143	0	4	0	6	7	3	0	0	3	0	0	1	6	3	3	2	12	11
BRCA_TCGA-D8-A145	0	5	0	6	4	0	0	0	4	3	0	4	5	3	0	0	5	8
BRCA_TCGA-D8-A146	0	4	4	2	4	0	0	0	3	4	0	2	4	0	13	0	1	0
BRCA_TCGA-D8-A147	2	1	7	0	4	2	5	2	16	1	13	4	5	60	11	13	36	18
BRCA_TCGA-D8-A1J8	23	41	56	17	35	64	26	0	53	11	0	38	22	408	154	0	0	13
BRCA_TCGA-D8-A1J9	11	3	26	1	1	0	0	0	1	0	0	3	2	161	50	4	9	6
BRCA_TCGA-D8-A1JB	1	1	2	3	2	5	2	0	1	2	1	2	9	7	1	4	14	6
BRCA_TCGA-D8-A1JC	3	0	9	0	12	1	2	0	5	0	0	2	0	47	33	0	2	6
BRCA_TCGA-D8-A1JD	5	3	5	0	5	6	5	0	14	0	0	4	9	24	4	3	19	16
BRCA_TCGA-D8-A1JE	1	2	0	1	6	4	0	3	1	0	5	4	0	2	2	0	4	5
BRCA_TCGA-D8-A1JF	0	4	2	0	7	9	0	3	3	0	0	4	0	5	3	0	6	3
BRCA_TCGA-D8-A1JG	32	8	20	6	14	14	0	17	0	1	9	1	10	14	5	1	11	6
BRCA_TCGA-D8-A1JH	0	2	1	1	1	0	1	0	0	1	3	2	1	1	2	0	3	5
BRCA_TCGA-D8-A1JI	0	1	2	0	3	4	0	0	4	1	2	4	9	0	5	0	7	0
BRCA_TCGA-D8-A1JJ	1	5	7	5	4	1	0	0	6	0	0	3	3	31	21	3	3	5
BRCA_TCGA-D8-A1JK	4	7	3	4	0	5	4	15	13	10	31	13	32	16	26	5	33	28
BRCA_TCGA-D8-A1JL	3	2	5	0	6	10	5	0	3	8	0	9	11	15	0	3	34	13
BRCA_TCGA-D8-A1JM	0	0	4	11	4	0	0	0	5	1	1	2	1	3	1	0	18	2
BRCA_TCGA-D8-A1JN	6	3	20	12	2	0	0	1	0	0	0	1	5	84	71	0	0	3
BRCA_TCGA-D8-A1JP	2	2	2	0	0	3	0	6	8	12	1	4	15	13	8	7	36	16
BRCA_TCGA-D8-A1JS	1	2	1	0	4	1	0	0	2	2	0	2	2	0	5	0	2	5
BRCA_TCGA-D8-A1JT	0	3	1	1	6	2	2	1	1	1	1	0	12	0	0	0	6	4
BRCA_TCGA-D8-A1JU	0	1	1	0	4	0	0	0	1	3	0	1	2	1	0	1	2	3
BRCA_TCGA-D8-A1X5	6	4	1	6	6	1	2	0	0	7	3	0	3	7	2	3	15	0
BRCA_TCGA-D8-A1X6	3	4	0	13	2	0	0	0	4	1	0	1	4	1	4	0	0	5
BRCA_TCGA-D8-A1X7	0	1	2	0	4	4	0	0	0	0	0	0	3	0	9	0	7	2
BRCA_TCGA-D8-A1X9	5	0	0	6	4	8	9	2	4	3	0	4	3	10	0	2	35	7
BRCA_TCGA-D8-A1XA	0	0	2	10	2	0	0	0	0	5	0	1	2	0	4	0	2	0
BRCA_TCGA-D8-A1XB	0	6	4	6	3	1	2	0	1	0	0	4	2	5	5	0	5	6
BRCA_TCGA-D8-A1XC	1	2	0	14	0	4	0	0	3	2	1	0	1	0	6	0	0	0
BRCA_TCGA-D8-A1XF	0	6	6	7	4	0	0	0	2	0	11	0	0	2	6	0	7	0
BRCA_TCGA-D8-A1XG	0	1	2	0	1	7	3	0	0	0	2	3	0	1	0	0	4	3
BRCA_TCGA-D8-A1XK	6	60	8	35	49	17	35	12	25	484	16	295	0	7	0	43	33	175
BRCA_TCGA-D8-A1XL	3	5	4	0	4	0	2	2	5	4	11	10	3	9	4	3	26	15
BRCA_TCGA-D8-A1XM	2	0	7	8	8	0	0	1	0	0	0	0	3	11	23	0	0	1
BRCA_TCGA-D8-A1XO	0	1	0	3	2	0	0	0	3	0	0	0	2	7	2	1	4	4
BRCA_TCGA-D8-A1XQ	7	64	27	62	92	74	43	10	86	154	17	167	35	40	0	23	49	81
BRCA_TCGA-D8-A1XR	0	4	1	4	1	0	4	0	5	2	0	1	0	0	4	1	0	5
BRCA_TCGA-D8-A1XS	0	3	4	0	2	0	0	0	1	0	0	0	0	3	5	0	8	0
BRCA_TCGA-D8-A1XT	0	3	1	13	0	1	1	0	0	3	3	0	4	2	9	1	4	0
BRCA_TCGA-D8-A1XU	0	0	0	5	1	1	0	0	2	0	0	1	2	7	10	0	1	5
BRCA_TCGA-D8-A1XV	0	0	1	3	7	1	0	0	0	1	3	3	5	4	0	0	3	5
BRCA_TCGA-D8-A1XW	0	4	3	0	8	0	0	1	11	8	0	2	7	16	4	9	30	19
BRCA_TCGA-D8-A1XY	1	6	2	12	8	1	4	2	1	0	0	1	3	2	13	0	2	1
BRCA_TCGA-D8-A1XZ	1	10	7	11	17	3	0	0	13	0	2	0	6	11	0	1	11	3
BRCA_TCGA-D8-A1Y0	4	0	2	5	5	8	4	0	1	2	2	3	3	15	1	1	10	15
BRCA_TCGA-D8-A1Y1	1	27	10	36	76	9	8	0	8	7	0	14	1	9	25	0	0	2
BRCA_TCGA-D8-A1Y2	0	1	1	2	3	0	0	0	1	0	2	0	0	7	4	0	0	1
BRCA_TCGA-D8-A1Y3	0	5	3	18	9	0	0	3	2	0	0	6	12	2	0	0	0	7
