Signatures	Stability	Total Mutations
SBS96A	0.979	149556
SBS96B	0.961	122291
SBS96C	0.996	117768
SBS96D	0.727	115712
SBS96E	-0.236	101589
SBS96F	0.874	80097
SBS96G	0.812	72056
SBS96H	0.497	71887
SBS96I	0.379	69749
SBS96J	0.904	60961
SBS96K	-0.193	59458
SBS96L	0.722	51054
SBS96M	0.875	43935
SBS96N	0.91	39226
SBS96O	0.988	22932
SBS96P	0.586	22774
SBS96Q	0.712	20046
