Signatures	Stability	Total Mutations
SBS96A	0.783	161890
SBS96B	0.975	158752
SBS96C	0.952	127282
SBS96D	0.996	124464
SBS96E	0.877	95550
SBS96F	0.852	82991
SBS96G	0.48	81680
SBS96H	0.906	73096
SBS96I	-0.477	70410
SBS96J	0.707	66200
SBS96K	0.758	59629
SBS96L	0.883	49894
SBS96M	0.973	42530
SBS96N	0.99	26723
