Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-A7-A4SC	4.27E-01	1.48E+00	0.00E+00	8.44E-01	1.10E+00	6.05E-01	3.00E-01	7.00E-01	1.38E+00	4.16E-01	4.94E-01
BRCA_TCGA-A7-A4SD	0.00E+00	1.18E+00	1.16E+00	6.00E-01	4.52E-01	1.34E+00	9.12E-01	8.83E-01	8.06E-01	5.17E-01	1.33E+00
BRCA_TCGA-A7-A4SE	6.36E-01	3.42E-01	1.81E+00	1.20E+00	4.01E-01	2.92E+00	1.25E+00	3.40E-01	2.30E+00	2.46E+00	3.65E-01
BRCA_TCGA-A7-A56D	1.77E+00	2.02E+00	8.14E-01	1.62E+00	1.27E+00	3.52E+00	3.06E-01	8.06E-01	2.85E+00	3.12E+00	4.58E-01
BRCA_TCGA-A7-A5ZV	9.89E-01	2.25E+00	2.04E+00	2.11E+00	1.41E+00	2.72E+00	1.71E+00	1.84E+00	3.15E+00	2.12E+00	2.09E+00
BRCA_TCGA-A7-A5ZW	5.47E-01	6.57E-01	4.82E-01	4.33E-01	4.99E-01	1.42E+00	1.17E+00	6.16E-01	8.47E-01	1.06E+00	0.00E+00
BRCA_TCGA-A7-A5ZX	3.35E-01	7.22E-01	5.26E-01	7.78E-01	7.86E-01	1.66E+00	7.64E-01	2.13E-01	1.07E+00	1.13E+00	7.63E-01
BRCA_TCGA-A7-A6VV	0.00E+00	1.28E+00	1.53E+00	0.00E+00	3.06E-01	2.64E+00	3.06E-01	0.00E+00	2.03E+00	1.10E+00	5.00E-01
BRCA_TCGA-A7-A6VW	0.00E+00	1.57E+00	1.30E+00	2.13E-01	4.77E-01	1.99E+00	1.56E+00	7.86E-01	1.80E+00	8.94E-01	6.51E-01
BRCA_TCGA-A7-A6VX	1.67E-01	4.82E-01	2.59E+00	8.16E-01	6.50E-01	2.77E+00	1.09E+00	1.54E+00	1.77E+00	2.77E+00	1.50E+00
BRCA_TCGA-A7-A6VY	7.60E-01	1.29E+00	2.49E+00	1.17E+00	4.07E-01	3.01E+00	1.17E+00	1.49E+00	2.20E+00	1.98E+00	2.13E-01
BRCA_TCGA-A8-A075	8.54E-01	1.09E+00	1.47E+00	6.18E-01	7.31E-01	1.96E+00	1.06E+00	4.82E-01	2.50E+00	7.86E-01	8.54E-01
BRCA_TCGA-AC-A23C	9.98E-01	1.61E+00	1.96E+00	1.72E+00	7.06E-01	2.14E+00	9.20E-01	0.00E+00	2.70E+00	7.67E-01	1.07E+00
BRCA_TCGA-AC-A23E	3.79E-01	9.66E-01	2.00E-01	2.67E-01	4.47E-01	6.29E-01	0.00E+00	0.00E+00	1.00E+00	0.00E+00	0.00E+00
BRCA_TCGA-AC-A23H	1.03E+01	4.14E+00	5.91E+00	4.17E+00	3.90E+01	1.05E+01	1.51E+00	3.15E+00	6.81E+00	3.86E+01	7.61E-01
BRCA_TCGA-AC-A2B8	4.23E-01	1.25E+00	4.27E-01	7.00E-01	1.06E+00	1.67E+00	4.58E-01	0.00E+00	7.57E-01	1.64E+00	0.00E+00
BRCA_TCGA-AC-A2BK	0.00E+00	1.81E+00	1.09E+00	2.00E+00	9.07E-01	1.33E+00	8.94E-01	5.96E-01	2.00E+00	7.31E-01	6.18E-01
BRCA_TCGA-AC-A2BM	0.00E+00	8.62E-01	1.75E+00	1.02E+00	3.48E-01	6.05E-01	0.00E+00	2.00E-01	1.18E+00	5.47E-01	5.59E-01
BRCA_TCGA-AC-A2FB	0.00E+00	6.53E-01	0.00E+00	3.89E-01	0.00E+00	9.94E-01	7.34E-01	0.00E+00	8.95E-01	6.15E-01	0.00E+00
BRCA_TCGA-AC-A2FF	0.00E+00	2.24E-01	0.00E+00	0.00E+00	0.00E+00	6.19E-01	2.77E-01	2.21E-01	7.22E-01	6.37E-01	0.00E+00
BRCA_TCGA-AC-A2FG	0.00E+00	7.75E-01	1.31E+00	2.13E-01	5.39E-01	2.16E+00	9.17E-01	3.35E-01	9.45E-01	1.18E+00	3.06E-01
BRCA_TCGA-AC-A2FK	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.33E-01	0.00E+00	3.67E-01	2.77E-01	0.00E+00
BRCA_TCGA-AC-A2FO	5.97E-01	5.33E-01	0.00E+00	0.00E+00	4.82E-01	8.03E-01	1.00E-01	0.00E+00	6.96E-01	9.91E-01	0.00E+00
BRCA_TCGA-AC-A2QH	3.71E-01	7.95E-01	0.00E+00	1.19E+00	0.00E+00	1.22E+00	2.13E-01	5.42E-01	6.53E-01	8.14E-01	0.00E+00
BRCA_TCGA-AC-A3HN	0.00E+00	5.67E-01	2.13E-01	7.57E-01	1.67E-01	5.04E-01	6.63E-01	0.00E+00	1.18E+00	5.00E-01	5.81E-01
BRCA_TCGA-AC-A3OD	4.52E-01	6.67E-01	0.00E+00	8.44E-01	7.06E-01	1.54E+00	4.33E-01	6.51E-01	6.71E-01	1.01E+00	0.00E+00
BRCA_TCGA-AC-A3QP	0.00E+00	6.80E-01	8.03E-01	0.00E+00	7.22E-01	1.22E+00	8.00E-01	0.00E+00	1.13E+00	5.17E-01	2.00E-01
BRCA_TCGA-AC-A3QQ	5.54E-01	1.01E+00	0.00E+00	9.09E-01	0.00E+00	1.99E+00	0.00E+00	0.00E+00	1.63E+00	3.48E-01	6.16E-01
BRCA_TCGA-AC-A3W5	3.07E-01	1.00E+00	1.94E+00	1.67E+00	9.32E-01	3.60E+00	1.00E-01	2.13E-01	3.06E+00	3.00E+00	1.75E+00
BRCA_TCGA-AC-A3YI	0.00E+00	4.96E-01	0.00E+00	4.77E-01	5.42E-01	3.42E-01	7.78E-01	0.00E+00	8.19E-01	1.00E-01	0.00E+00
BRCA_TCGA-AC-A3YJ	5.43E-01	1.19E+00	0.00E+00	4.73E-01	4.07E-01	1.91E+00	1.14E+00	5.17E-01	8.46E-01	1.02E+00	0.00E+00
BRCA_TCGA-AC-A4ZE	0.00E+00	1.51E+00	1.44E+00	1.27E+00	7.42E-01	1.18E+00	8.70E-01	0.00E+00	9.33E-01	1.38E+00	0.00E+00
BRCA_TCGA-AC-A5EH	8.84E-01	1.54E+00	2.15E+00	1.53E+00	1.18E+00	2.53E+00	1.66E+00	1.53E+00	2.11E+00	2.01E+00	1.42E+00
BRCA_TCGA-AC-A5EI	0.00E+00	1.00E+00	1.00E-01	3.67E-01	8.44E-01	1.63E+00	6.33E-01	0.00E+00	1.47E+00	1.51E+00	1.00E-01
BRCA_TCGA-AC-A5XS	2.24E+00	1.99E+00	1.60E+00	9.45E-01	6.55E+00	4.72E+00	0.00E+00	7.61E-01	2.20E+00	8.28E+00	7.22E-01
BRCA_TCGA-AC-A5XU	7.86E-01	1.93E+00	1.44E+00	1.76E+00	8.23E-01	2.23E+00	6.40E-01	8.59E-01	2.78E+00	2.46E+00	4.27E-01
BRCA_TCGA-AC-A62V	9.57E-01	1.97E+00	7.90E-01	2.36E+00	9.45E-01	2.32E+00	4.71E-01	7.00E-01	2.18E+00	1.57E+00	6.74E-01
BRCA_TCGA-AC-A62X	7.63E-01	1.16E+00	2.69E-01	0.00E+00	3.07E-01	1.46E+00	1.23E+00	1.05E+00	1.65E+00	1.27E+00	7.63E-01
BRCA_TCGA-AC-A62Y	0.00E+00	1.15E+00	1.26E+00	9.36E-01	4.23E-01	2.58E+00	1.58E+00	6.96E-01	1.69E+00	1.76E+00	8.46E-01
BRCA_TCGA-AC-A6IV	0.00E+00	9.55E-01	1.43E+00	4.22E-01	5.21E-01	1.06E+00	5.97E-01	1.33E-01	1.33E+00	0.00E+00	0.00E+00
BRCA_TCGA-AC-A6IW	0.00E+00	2.80E+00	2.63E+00	2.29E+00	1.11E+00	4.59E+00	2.19E+00	0.00E+00	3.00E+00	4.00E+00	1.08E+00
