Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
RNF168_2_multinomial_train3.20	0.9999999999999956	0.942	0.356	35.6%	0.049	33.784%	0.11662	0.883
EXO1_1_multinomial_train3.15	0.9999999999999953	0.909	0.419	41.9%	0.058	43.87%	0.14199	0.79
RNF168_2_multinomial_train3.21	0.9999999999999956	0.918	0.406	40.6%	0.054	40.396%	0.14749	0.803
RNF168_2_multinomial_train3.22	0.9999999999999956	0.937	0.358	35.8%	0.049	35.103%	0.12454	0.863
EXO1_1_multinomial_train3.16	0.9999999999999949	0.935	0.36	36.0%	0.05	38.189%	0.11516	0.855
EXO1_1_multinomial_train3.17	0.9999999999999947	0.928	0.36	36.0%	0.051	38.981%	0.11925	0.831
RNF168_2_multinomial_train3.23	0.9999999999999953	0.927	0.379	37.9%	0.052	37.387%	0.13209	0.837
EXO1_1_multinomial_train3.18	0.9999999999999949	0.943	0.334	33.4%	0.046	33.923%	0.09372	0.87
RNF168_2_multinomial_train3.24	0.9999999999999952	0.939	0.361	36.1%	0.049	34.154%	0.13143	0.873
RNF168_2_multinomial_train3.25	0.9999999999999959	0.934	0.363	36.3%	0.052	36.021%	0.12694	0.864
RNF168_2_multinomial_train3.26	0.9999999999999959	0.927	0.383	38.3%	0.054	38.205%	0.14474	0.847
RNF168_2_multinomial_train3.27	0.9999999999999958	0.941	0.353	35.3%	0.047	34.445%	0.12869	0.866
RNF168_2_multinomial_train3.28	0.9999999999999956	0.942	0.348	34.8%	0.048	33.568%	0.11561	0.877
EXO1_1_multinomial_train3.19	0.9999999999999949	0.927	0.373	37.3%	0.052	38.842%	0.10946	0.832
RNF168_2_multinomial_train3.29	0.9999999999999951	0.936	0.367	36.7%	0.049	35.506%	0.1335	0.856
EXO1_1_multinomial_train3.20	0.999999999999995	0.929	0.365	36.5%	0.052	39.345%	0.1111	0.839
RNF168_2_multinomial_train3.30	0.9999999999999962	0.941	0.376	37.6%	0.048	34.419%	0.13687	0.872
RNF168_2_multinomial_train3.31	0.9999999999999953	0.929	0.376	37.6%	0.052	37.41%	0.13691	0.844
RNF168_2_multinomial_train3.32	0.999999999999996	0.928	0.383	38.3%	0.052	37.5%	0.13737	0.843
RNF168_2_multinomial_train3.33	0.9999999999999956	0.907	0.42	42.0%	0.059	43.047%	0.16983	0.791
EXO1_1_multinomial_train3.21	0.9999999999999944	0.943	0.334	33.4%	0.047	35.229%	0.10281	0.875
RNF168_2_multinomial_train3.34	0.9999999999999958	0.936	0.358	35.8%	0.049	35.856%	0.1291	0.856
EXO1_1_multinomial_train3.22	0.9999999999999953	0.93	0.37	37.0%	0.05	38.391%	0.11771	0.832
EXO1_1_multinomial_train3.23	0.9999999999999944	0.933	0.382	38.2%	0.05	38.085%	0.12503	0.845
RNF168_2_multinomial_train3.35	0.9999999999999953	0.932	0.386	38.6%	0.052	36.212%	0.13512	0.859
RNF168_2_multinomial_train3.36	0.9999999999999958	0.927	0.369	36.9%	0.051	38.334%	0.13743	0.828
EXO1_1_multinomial_train3.24	0.9999999999999951	0.942	0.331	33.1%	0.047	34.757%	0.09922	0.873
RNF168_2_multinomial_train3.37	0.9999999999999953	0.931	0.37	37.0%	0.052	37.253%	0.13137	0.852
EXO1_1_multinomial_train3.25	0.9999999999999956	0.936	0.353	35.3%	0.049	37.556%	0.10669	0.854
RNF168_2_multinomial_train3.38	0.9999999999999953	0.917	0.399	39.9%	0.057	40.908%	0.15959	0.819
EXO1_1_multinomial_train3.26	0.9999999999999949	0.941	0.351	35.1%	0.048	35.791%	0.11705	0.872
EXO1_1_multinomial_train3.27	0.9999999999999943	0.933	0.354	35.4%	0.05	38.201%	0.10165	0.851
EXO1_1_multinomial_train3.28	0.9999999999999947	0.93	0.366	36.6%	0.052	37.839%	0.10921	0.844
EXO1_1_multinomial_train3.29	0.9999999999999946	0.936	0.356	35.6%	0.049	36.874%	0.11128	0.854
EXO1_1_multinomial_train3.30	0.9999999999999952	0.937	0.35	35.0%	0.049	36.585%	0.10382	0.865
RNF168_2_multinomial_train3.39	0.9999999999999947	0.925	0.387	38.7%	0.055	38.379%	0.14838	0.845
RNF168_2_multinomial_train3.40	0.9999999999999956	0.94	0.364	36.4%	0.049	34.447%	0.13871	0.873
EXO1_1_multinomial_train3.31	0.9999999999999953	0.938	0.363	36.3%	0.049	36.415%	0.1109	0.864
EXO1_1_multinomial_train3.32	0.9999999999999946	0.938	0.368	36.8%	0.049	35.913%	0.11144	0.863
EXO1_1_multinomial_train3.33	0.9999999999999944	0.947	0.338	33.8%	0.044	33.797%	0.09861	0.877
RNF168_2_multinomial_train3.41	0.9999999999999956	0.93	0.371	37.1%	0.052	36.833%	0.15052	0.85
RNF168_2_multinomial_train3.42	0.9999999999999956	0.918	0.406	40.6%	0.055	40.111%	0.15985	0.813
EXO1_1_multinomial_train3.34	0.999999999999995	0.934	0.361	36.1%	0.05	37.475%	0.12289	0.854
RNF168_2_multinomial_train3.43	0.9999999999999951	0.943	0.35	35.0%	0.049	33.606%	0.1353	0.884
EXO1_1_multinomial_train3.35	0.999999999999995	0.918	0.374	37.4%	0.056	41.653%	0.12155	0.82
EXO1_1_multinomial_train3.36	0.9999999999999946	0.939	0.341	34.1%	0.048	36.095%	0.10745	0.866
RNF168_2_multinomial_train3.44	0.9999999999999957	0.932	0.374	37.4%	0.051	36.955%	0.13901	0.852
EXO1_1_multinomial_train3.37	0.9999999999999951	0.94	0.331	33.1%	0.047	36.331%	0.09956	0.863
RNF168_2_multinomial_train3.45	0.9999999999999954	0.94	0.372	37.2%	0.048	35.209%	0.14716	0.865
RNF168_2_multinomial_train3.46	0.9999999999999956	0.941	0.348	34.8%	0.047	34.389%	0.12375	0.865
RNF168_2_multinomial_train3.47	0.9999999999999952	0.931	0.383	38.3%	0.053	36.891%	0.14297	0.857
RNF168_2_multinomial_train3.48	0.9999999999999958	0.928	0.395	39.5%	0.053	37.429%	0.13866	0.847
RNF168_2_multinomial_train3.49	0.9999999999999958	0.936	0.353	35.3%	0.049	35.669%	0.13042	0.858
RNF168_2_multinomial_train3.50	0.9999999999999956	0.93	0.385	38.5%	0.054	37.214%	0.13793	0.857
EXO1_1_multinomial_train3.38	0.9999999999999946	0.934	0.351	35.1%	0.05	37.273%	0.10629	0.851
RNF168_2_multinomial_train3.51	0.9999999999999956	0.915	0.422	42.2%	0.057	41.206%	0.15302	0.809
RNF168_2_multinomial_train3.52	0.9999999999999951	0.924	0.387	38.7%	0.054	39.329%	0.14889	0.832
EXO1_1_multinomial_train3.39	0.999999999999995	0.943	0.316	31.6%	0.046	35.12%	0.09733	0.869
EXO1_1_multinomial_train3.40	0.9999999999999947	0.929	0.372	37.2%	0.051	40.273%	0.10812	0.828
RNF168_2_multinomial_train3.53	0.9999999999999956	0.939	0.373	37.3%	0.049	34.43%	0.12893	0.872
EXO1_1_multinomial_train3.41	0.999999999999995	0.941	0.35	35.0%	0.047	35.336%	0.09835	0.865
EXO1_1_multinomial_train3.42	0.9999999999999949	0.936	0.371	37.1%	0.049	37.898%	0.11822	0.853
RNF168_2_multinomial_train3.54	0.9999999999999952	0.917	0.434	43.4%	0.058	40.835%	0.17464	0.827
OGG1_2_multinomial_train3	0.9999999999999981	0.993	0.252	25.2%	0.046	11.875%	0.16506	0.993
OGG1_2_multinomial_train3.1	0.999999999999998	0.988	0.277	27.7%	0.063	16.499%	0.98441	0.988
UNG_2_multinomial_train3	0.9999999999999974	0.861	0.689	68.9%	0.107	51.535%	0.4335	0.817
OGG1_2_multinomial_train3.2	0.9999999999999977	0.995	0.258	25.8%	0.041	10.851%	0.1664	0.994
UNG_2_multinomial_train3.1	0.9999999999999976	0.862	0.631	63.1%	0.101	50.964%	0.39509	0.81
OGG1_2_multinomial_train3.3	0.999999999999998	0.994	0.286	28.6%	0.051	13.224%	0.1602	0.993
UNG_2_multinomial_train3.2	0.9999999999999973	0.904	0.593	59.3%	0.093	44.735%	0.33195	0.879
UNG_2_multinomial_train3.3	0.9999999999999974	0.889	0.655	65.5%	0.094	47.072%	0.37387	0.852
UNG_2_multinomial_train3.4	0.9999999999999978	0.886	0.674	67.4%	0.101	47.077%	0.4069	0.855
UNG_2_multinomial_train3.5	0.9999999999999974	0.85	0.689	68.9%	0.117	53.928%	0.44429	0.808
UNG_2_multinomial_train3.6	0.9999999999999976	0.88	0.661	66.1%	0.109	49.732%	0.39716	0.855
UNG_2_multinomial_train3.7	0.9999999999999973	0.892	0.625	62.5%	0.102	46.301%	0.3702	0.864
OGG1_2_multinomial_train3.4	0.9999999999999978	0.987	0.312	31.2%	0.059	15.848%	0.16765	0.986
UNG_2_multinomial_train3.8	0.9999999999999973	0.884	0.677	67.7%	0.104	48.161%	0.39182	0.854
UNG_2_multinomial_train3.9	0.9999999999999978	0.878	0.702	70.2%	0.106	49.427%	0.43388	0.846
UNG_2_multinomial_train3.10	0.9999999999999976	0.875	0.607	60.7%	0.098	49.188%	0.37073	0.83
UNG_2_multinomial_train3.11	0.9999999999999974	0.899	0.644	64.4%	0.094	45.438%	0.35859	0.871
