Signatures	Stability	Total Mutations
SBS96A	0.994	145119
SBS96B	0.977	118552
SBS96C	0.999	110767
SBS96D	0.611	90100
SBS96E	0.741	76577
SBS96F	0.522	73174
SBS96G	0.918	66141
SBS96H	0.957	63545
SBS96I	0.861	58526
SBS96J	0.919	49829
SBS96K	0.932	46248
SBS96L	0.732	39785
SBS96M	0.722	38318
SBS96N	0.58	37963
SBS96O	0.887	35378
SBS96P	0.826	34524
SBS96Q	0.211	26095
SBS96R	0.983	22562
SBS96S	-0.029	20365
SBS96T	0.349	19367
SBS96U	0.749	19015
SBS96V	0.613	14576
SBS96W	0.578	14565
