Signatures	Stability	Total Mutations
SBS96A	0.99	341
SBS96B	0.984	250
SBS96C	0.959	241
SBS96D	0.085	206
SBS96E	0.555	204
SBS96F	0.034	123
SBS96G	0.961	97
SBS96H	0.168	81
SBS96I	0.059	79
SBS96J	-0.011	52
SBS96K	0.718	51
SBS96L	0.213	49
SBS96M	0.473	37
SBS96N	0.416	30
SBS96O	0.028	25
SBS96P	0.232	18
SBS96Q	0.205	18
SBS96R	0.087	15
SBS96S	0.129	14
SBS96T	0.235	10
SBS96U	0.049	10
SBS96V	0.332	6
SBS96W	0.132	6
SBS96X	0.48	4
