cancer,k,lambda_c,lambda_p,lr,acc_test,f1_test,rec_test
BRCA,9,0.1,0.0001,0.005,0.02654867256637168,0.01840872287595811,6.091963024225622
COAD,9,0.1,0.0001,0.005,0.017241379310344827,0.00984251968503937,3.5419907210575956
UCEC,9,0.1,0.0001,0.005,0.03131991051454139,0.01364522417153996,4.228324850123259
STAD,9,0.1,0.0001,0.005,0.02050113895216401,0.01015228426395939,4.357640259533026
