	0	1	2	3	4	5	6	7	8	9
1000	[0.46564870675590003, 0.4653263091949958, 0.0032239756090421887, 1.0, 0.0]	[0.4662869791538595, 0.4659416819958859, 0.0034529715797357347, 1.0, 0.0]	[0.47119803219521744, 0.47092350331128424, 0.002745288839331983, 1.0, 0.0]	[0.46604197241334266, 0.4656794856173717, 0.0036248679597093436, 1.0, 0.0]	[0.46392455500455954, 0.4635742259704832, 0.0035032903407633885, 1.0, 0.0]	[0.4674285025826995, 0.4670497890706463, 0.0037871351205321074, 1.0, 0.0]	[0.46548684927246387, 0.4651041583544519, 0.003826909180119896, 1.0, 0.0]	[0.4703559182738512, 0.47011174650466814, 0.0024417176918304475, 1.0, 0.0]	[0.4654155625199426, 0.4650360971890694, 0.0037946533087319175, 1.0, 0.0]	[0.4697554512932901, 0.46953376377924755, 0.002216875140425785, 1.0, 0.0]
2000	[0.46228114525829345, 0.46199346076233083, 0.0028768449596260014, 1.0, 0.0]	[0.46252689808614145, 0.462243276657335, 0.0028362142880645233, 1.0, 0.0]	[0.4660138402381277, 0.4657922707062323, 0.0022156953189538028, 1.0, 0.0]	[0.46202547210855194, 0.46171316853582134, 0.003123035727306197, 1.0, 0.0]	[0.46115209677173585, 0.46083749497438975, 0.0031460179734608597, 1.0, 0.0]	[0.4626186106357084, 0.4623033660644633, 0.0031524457124508807, 1.0, 0.0]	[0.4615882135272271, 0.4612689077125289, 0.0031930581469825324, 1.0, 0.0]	[0.46687921211525846, 0.4666774349436674, 0.0020177717159101873, 1.0, 0.0]	[0.4617165412250056, 0.4613968584667357, 0.003196827582698864, 1.0, 0.0]	[0.46644929881335306, 0.46625342069190856, 0.001958781214445081, 1.0, 0.0]
3000	[0.46091558411375316, 0.4606476006074398, 0.0026798350631337107, 1.0, 0.0]	[0.46110445678787415, 0.46083437179723247, 0.0027008499064168395, 1.0, 0.0]	[0.4641628226702927, 0.46395668699266396, 0.0020613567762873012, 1.0, 0.0]	[0.4604981925971126, 0.46019638064953466, 0.003018119475779557, 1.0, 0.0]	[0.46019483128217603, 0.4598989109136228, 0.0029592036855325553, 1.0, 0.0]	[0.46110971837231407, 0.4608133731031604, 0.0029634526915367837, 1.0, 0.0]	[0.46028445825430897, 0.45998519354806866, 0.002992647062403142, 1.0, 0.0]	[0.4653910652109464, 0.4652007891903689, 0.0019027602057750455, 1.0, 0.0]	[0.46039358810845005, 0.46009914723472867, 0.002944408737213562, 1.0, 0.0]	[0.4648344319045201, 0.46464482163117, 0.0018961027335014007, 1.0, 0.0]
4000	[0.460296490096362, 0.4600194736371586, 0.0027701645920336576, 1.0, 0.0]	[0.46075073703052366, 0.4604921567833389, 0.0025858024718476654, 1.0, 0.0]	[0.46316374590178994, 0.46296179612587623, 0.002019497759136829, 1.0, 0.0]	[0.4600257783826612, 0.4597364193181524, 0.0028935906450879845, 1.0, 0.0]	[0.459501164138967, 0.45920605551673305, 0.002951086222339987, 1.0, 0.0]	[0.46015494357854775, 0.4598683866171161, 0.002865569614316499, 1.0, 0.0]	[0.459666395412916, 0.45937017557194293, 0.002962198409730715, 1.0, 0.0]	[0.4650018709051601, 0.4648149980239246, 0.001868728812354652, 1.0, 0.0]	[0.45978684134881764, 0.4594945039395326, 0.0029233740928501953, 1.0, 0.0]	[0.4646890404650494, 0.4645020846384573, 0.0018695582659204704, 1.0, 0.0]
5000	[0.4599868865577259, 0.4597220235558256, 0.0026486300190029337, 1.0, 0.0]	[0.46017921988695504, 0.4599163635386887, 0.002628563482663114, 1.0, 0.0]	[0.46313536676252837, 0.4629316779156356, 0.002036888468927531, 1.0, 0.0]	[0.45948924491442455, 0.4591941932407471, 0.0029505167367742994, 1.0, 0.0]	[0.4591649900895401, 0.4588727194765066, 0.0029227061303349084, 1.0, 0.0]	[0.460052935982438, 0.4597685306661165, 0.0028440531632151073, 1.0, 0.0]	[0.4592698805147767, 0.4589782852739572, 0.0029159524081951165, 1.0, 0.0]	[0.4643095204384951, 0.46412273237600454, 0.0018678806249053893, 1.0, 0.0]	[0.4593385921654488, 0.45904271112132644, 0.002958810441223605, 1.0, 0.0]	[0.4635482834163731, 0.46335979977756486, 0.0018848363880827283, 1.0, 0.0]
6000	[0.45975244360976586, 0.45949141177154196, 0.002610318382238854, 1.0, 0.0]	[0.45999552255199794, 0.45973442660278735, 0.0026109594921059315, 1.0, 0.0]	[0.46255969188000534, 0.46235685962632134, 0.002028322536839992, 1.0, 0.0]	[0.45939076322249894, 0.45910235215776357, 0.0028841106473535163, 1.0, 0.0]	[0.45897043015042766, 0.45867995241523246, 0.0029047773519520178, 1.0, 0.0]	[0.4598307684154444, 0.4595478654380591, 0.0028290297738530175, 1.0, 0.0]	[0.4591708267388745, 0.45887619106067723, 0.0029463567819727793, 1.0, 0.0]	[0.46425823143359857, 0.4640705429447047, 0.0018768848889389109, 1.0, 0.0]	[0.4590382074986041, 0.4587495377812033, 0.00288669717400756, 1.0, 0.0]	[0.4631573568882558, 0.4629693494564924, 0.0018800743176342978, 1.0, 0.0]
7000	[0.4597917554959484, 0.4595274298393465, 0.002643256566018963, 1.0, 0.0]	[0.460144868951274, 0.4598963285509742, 0.002485404002998256, 1.0, 0.0]	[0.4628783675177358, 0.4626704729308649, 0.0020789458687095128, 1.0, 0.0]	[0.45934201978208206, 0.45905165878789944, 0.002903609941825888, 1.0, 0.0]	[0.45865186150884935, 0.458345169704999, 0.0030669180385036, 1.0, 0.0]	[0.4595687456852645, 0.45928914568676993, 0.0027959999849457434, 1.0, 0.0]	[0.4589939248867011, 0.4587037365338793, 0.0029018835282180657, 1.0, 0.0]	[0.4638846136819838, 0.4636978881015153, 0.0018672558046852084, 1.0, 0.0]	[0.458934960585222, 0.4586385613839832, 0.0029639920123878637, 1.0, 0.0]	[0.46373306951650906, 0.4635456552805191, 0.00187414235989923, 1.0, 0.0]
8000	[0.4593288558230879, 0.45905723938749604, 0.002716164355918529, 1.0, 0.0]	[0.4598697527922007, 0.45960953669434895, 0.0026021609785178913, 1.0, 0.0]	[0.4638964830669244, 0.46369074457377246, 0.0020573849315193155, 1.0, 0.0]	[0.4590985825432288, 0.45880283277830336, 0.0029574976492542883, 1.0, 0.0]	[0.4586751700713414, 0.45837830012199154, 0.0029686994934983923, 1.0, 0.0]	[0.4595490892548078, 0.4592688334100198, 0.00280255844787997, 1.0, 0.0]	[0.45887438679394094, 0.45857903166795017, 0.002953551259907797, 1.0, 0.0]	[0.4639051876043983, 0.4637185218774024, 0.0018666572699587028, 1.0, 0.0]	[0.4590551949678281, 0.4587611671822032, 0.0029402778562485853, 1.0, 0.0]	[0.46344116976931143, 0.4632539268700849, 0.0018724289922658615, 1.0, 0.0]
9000	[0.4594634256065874, 0.45919048764267306, 0.00272937963914338, 1.0, 0.0]	[0.4599570172917834, 0.45970289467291947, 0.0025412261886392142, 1.0, 0.0]	[0.46241756493583214, 0.4622151063768954, 0.0020245855893676816, 1.0, 0.0]	[0.45909216245579904, 0.4588055654233942, 0.0028659703240487538, 1.0, 0.0]	[0.45872150646732734, 0.4584294515219102, 0.0029205494541711436, 1.0, 0.0]	[0.4593122928118005, 0.4590239289599312, 0.0028836385186929874, 1.0, 0.0]	[0.4589109995294146, 0.4586222663667211, 0.0028873316269353365, 1.0, 0.0]	[0.46392859537535536, 0.46374120546583547, 0.0018738990951987988, 1.0, 0.0]	[0.4586533843773685, 0.4583589387363962, 0.0029444564097232586, 1.0, 0.0]	[0.4631634597412776, 0.46297453833809515, 0.0018892140318243912, 1.0, 0.0]
10000	[0.45905331731711824, 0.4587728108044875, 0.002805065126307056, 1.0, 0.0]	[0.4600378782894659, 0.45978466564141035, 0.002532126480555808, 1.0, 0.0]	[0.4624822306454028, 0.46227445167781434, 0.002077789675884385, 1.0, 0.0]	[0.4590231205966281, 0.4587370528454787, 0.0028606775114937482, 1.0, 0.0]	[0.4584770950506664, 0.45817796742588174, 0.002991276247846797, 1.0, 0.0]	[0.4592663472496193, 0.458986872970084, 0.0027947427953527817, 1.0, 0.0]	[0.45862478706382165, 0.45832478033530244, 0.003000067285192326, 1.0, 0.0]	[0.46419290238215927, 0.4640053747921105, 0.0018752759004873702, 1.0, 0.0]	[0.4588075845281694, 0.4585077675302613, 0.002998169979080868, 1.0, 0.0]	[0.4633571229026811, 0.46316824123193434, 0.0018888167074676769, 1.0, 0.0]
11000	[0.4594201689734797, 0.4591567938959085, 0.0026337507757120517, 1.0, 0.0]	[0.45972695385113976, 0.45946967988138854, 0.002572739697512206, 1.0, 0.0]	[0.4634535212229729, 0.4632531161595147, 0.002004050634581851, 1.0, 0.0]	[0.45900734450234537, 0.45871414032477736, 0.0029320417756803384, 1.0, 0.0]	[0.45866549049730637, 0.45837397388498313, 0.0029151661232323057, 1.0, 0.0]	[0.4590407306691357, 0.45875458269500863, 0.002861479741270705, 1.0, 0.0]	[0.45859100746574105, 0.4582960268220804, 0.002949806436605992, 1.0, 0.0]	[0.46465435788834164, 0.4644654604786373, 0.0018889740970436638, 1.0, 0.0]	[0.45856721894301755, 0.4582732990350087, 0.0029391990800886297, 1.0, 0.0]	[0.46310070211079474, 0.46291082551898105, 0.001898765918136612, 1.0, 0.0]
12000	[0.4594429315411398, 0.45918169735531433, 0.0026123418582547587, 1.0, 0.0]	[0.4602356333956336, 0.45997685815811606, 0.002587752375175428, 1.0, 0.0]	[0.4631858058119681, 0.4629831498612424, 0.0020265595072570287, 1.0, 0.0]	[0.4586587519576599, 0.458365886609029, 0.0029286534863092735, 1.0, 0.0]	[0.4586817579736004, 0.4583919926664162, 0.0028976530718417205, 1.0, 0.0]	[0.45896808281686086, 0.4586780109645795, 0.002900718522813336, 1.0, 0.0]	[0.4587887830731511, 0.4584991854467494, 0.0028959762640168776, 1.0, 0.0]	[0.4636316360151748, 0.46344318658812267, 0.0018844942705215633, 1.0, 0.0]	[0.45869676328378717, 0.45840543341462014, 0.002913298691670459, 1.0, 0.0]	[0.46327640631777267, 0.4630875188394095, 0.0018888747836315921, 1.0, 0.0]
13000	[0.4595756043481577, 0.4593061514700571, 0.0026945287810058944, 1.0, 0.0]	[0.4601295363918417, 0.4598751190668947, 0.002544173249469665, 1.0, 0.0]	[0.4632536742786691, 0.46305029319164875, 0.0020338108702032108, 1.0, 0.0]	[0.45881723961991255, 0.45852857277518755, 0.0028866684472502483, 1.0, 0.0]	[0.45866728672440527, 0.4583720975510076, 0.002951891733976723, 1.0, 0.0]	[0.45919237710563454, 0.45890473169784396, 0.0028764540779060515, 1.0, 0.0]	[0.4587868996170954, 0.45849410153137854, 0.0029279808571684705, 1.0, 0.0]	[0.4643599315489522, 0.464171978033579, 0.0018795351537321148, 1.0, 0.0]	[0.45868736183363484, 0.45839648345250084, 0.0029087838113400297, 1.0, 0.0]	[0.4631920481702597, 0.4629990708548014, 0.0019297731545830895, 1.0, 0.0]
14000	[0.4595034631014067, 0.4592296707085781, 0.0027379239282860177, 1.0, 0.0]	[0.45991033610225335, 0.4596521406325703, 0.0025819546968302975, 1.0, 0.0]	[0.46284075938011593, 0.4626371102169627, 0.002036491631532508, 1.0, 0.0]	[0.4585535487156479, 0.45825151965599514, 0.0030202905965274873, 1.0, 0.0]	[0.45866596029298773, 0.45837349942344535, 0.0029246086954238344, 1.0, 0.0]	[0.4586918565023033, 0.45840430079636196, 0.0028755570594137035, 1.0, 0.0]	[0.4584402045389086, 0.45813591051924885, 0.0030429401965976354, 1.0, 0.0]	[0.46337160048611337, 0.46318322410229484, 0.0018837638381854482, 1.0, 0.0]	[0.45858536236575853, 0.4582870711582548, 0.0029829120750372415, 1.0, 0.0]	[0.4631123370243709, 0.46292329917976455, 0.0018903784460635837, 1.0, 0.0]
15000	[0.4596833570269497, 0.4594191443803451, 0.0026421264660458836, 1.0, 0.0]	[0.4597079749269765, 0.4594450399138192, 0.0026293501315731724, 1.0, 0.0]	[0.462824949608368, 0.46262207106141534, 0.0020287854695264264, 1.0, 0.0]	[0.45878860150500955, 0.458496628371336, 0.002919731336735949, 1.0, 0.0]	[0.4587334568463825, 0.458441869610866, 0.002915872355164898, 1.0, 0.0]	[0.45930737142986433, 0.45902107062266917, 0.0028630080719515717, 1.0, 0.0]	[0.4585981956224667, 0.45830113649411885, 0.002970591283478053, 1.0, 0.0]	[0.46336127418182904, 0.463170303101552, 0.001909710802770331, 1.0, 0.0]	[0.4587840439650301, 0.4585001065287013, 0.0028393743632874145, 1.0, 0.0]	[0.4631892591477586, 0.46299801194416734, 0.0019124720359127135, 1.0, 0.0]
