Samples	Stability	Total Mutations
SBS96A	0.8415383719409114	448
SBS96B	0.1465454405118792	366
SBS96C	0.7709475012546991	357
SBS96D	0.9763836977334872	346
SBS96E	0.9982224717208308	316
SBS96F	0.8197662048319705	316
SBS96G	0.5953514080026965	286
SBS96H	0.49427116659878034	253
SBS96I	-0.7556408291551542	106
