Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
BRCA_TCGA-AC-A5EI	0	8	10	0	0	0	5	8	0	12
BRCA_TCGA-AC-A5XS	26	0	98	0	3	0	0	0	11	577
BRCA_TCGA-AC-A5XU	0	27	12	0	12	5	3	33	0	21
BRCA_TCGA-AC-A62V	7	22	7	2	24	0	0	34	0	10
BRCA_TCGA-AC-A62X	6	35	0	0	5	5	7	24	0	5
BRCA_TCGA-AC-A62Y	0	15	2	8	0	3	7	20	1	33
BRCA_TCGA-AC-A6IV	1	3	11	4	0	0	0	7	1	0
BRCA_TCGA-AC-A6IW	0	18	11	11	12	0	3	76	0	100
BRCA_TCGA-AC-A6IX	0	6	10	3	5	0	6	8	0	33
BRCA_TCGA-AC-A6NO	0	9	7	4	1	0	6	13	0	3
BRCA_TCGA-AC-A7VB	0	10	3	5	5	0	1	11	0	0
BRCA_TCGA-AC-A7VC	1	5	8	1	1	0	2	8	0	0
BRCA_TCGA-AC-A8OP	13	31	29	19	10	24	12	75	1	30
BRCA_TCGA-AC-A8OQ	2	19	25	0	9	6	6	42	6	22
BRCA_TCGA-AC-A8OR	0	4	1	0	6	3	1	16	0	1
BRCA_TCGA-AC-A8OS	0	9	10	4	0	0	9	26	2	19
BRCA_TCGA-AN-A0XL	3	6	10	0	0	5	4	11	0	1
BRCA_TCGA-AN-A0XN	6	7	3	15	7	6	15	91	6	19
BRCA_TCGA-AN-A0XO	1	1	12	0	3	0	7	6	2	11
BRCA_TCGA-AN-A0XP	1	4	0	0	2	2	9	7	1	8
BRCA_TCGA-AN-A0XR	0	6	3	4	0	0	0	18	0	7
BRCA_TCGA-AN-A0XS	1	2	8	3	2	0	0	9	1	6
BRCA_TCGA-AN-A0XT	0	7	7	0	0	1	1	5	0	1
BRCA_TCGA-AN-A0XU	14	9	0	16	0	3	2	72	0	21
BRCA_TCGA-AN-A0XV	1	4	7	0	8	0	4	15	0	5
BRCA_TCGA-AN-A0XW	0	3	0	1	2	5	0	0	0	412
BRCA_TCGA-AO-A03M	15	13	0	0	0	1	1	0	0	1120
BRCA_TCGA-AO-A03N	6	9	16	7	4	6	0	2	0	84
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	3	0	2
BRCA_TCGA-AO-A03V	3	3	20	0	2	1	2	21	1	19
BRCA_TCGA-AO-A0JG	3	0	0	2	0	3	2	9	0	2
BRCA_TCGA-AO-A124	11	9	16	13	5	0	4	108	0	12
BRCA_TCGA-AO-A125	2	10	12	6	0	3	0	8	0	4
BRCA_TCGA-AO-A126	0	5	5	0	0	0	1	10	0	4
BRCA_TCGA-AO-A128	0	359	0	392	68	54	270	0	39	28
BRCA_TCGA-AO-A129	0	10	0	6	1	13	11	63	3	37
BRCA_TCGA-AO-A12A	0	6	0	0	2	0	0	5	0	6
BRCA_TCGA-AO-A12B	0	9	0	0	0	2	2	9	0	1
BRCA_TCGA-AO-A12D	1	4	29	0	0	0	0	6	2	31
BRCA_TCGA-AO-A12E	0	8	6	0	4	0	0	12	0	3
BRCA_TCGA-AO-A12F	4	9	2	0	11	0	0	14	0	0
BRCA_TCGA-AO-A12G	0	11	5	2	0	0	8	8	0	8
BRCA_TCGA-AO-A12H	0	7	8	1	0	0	4	10	0	0
BRCA_TCGA-AO-A1KO	0	0	2	2	0	0	2	3	1	0
BRCA_TCGA-AO-A1KR	1	8	7	10	0	0	5	44	0	14
BRCA_TCGA-AO-A1KT	0	10	7	2	0	1	13	14	0	4
BRCA_TCGA-AQ-A04H	4	30	4	3	5	0	7	21	0	7
BRCA_TCGA-AQ-A0Y5	0	17	5	0	3	1	4	15	3	22
BRCA_TCGA-AQ-A1H2	1	10	3	3	1	0	2	8	4	2
BRCA_TCGA-AQ-A1H3	0	17	0	0	0	0	3	7	0	0
BRCA_TCGA-AQ-A54O	1	5	0	7	0	0	0	8	0	4
BRCA_TCGA-AQ-A7U7	1	4	9	3	6	0	0	3	6	64
BRCA_TCGA-AR-A0TP	0	2	3	8	0	2	7	40	0	9
