Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
ATP2B4_boot.179	1.14E-114	1.10E-02	4.59E-04	1.29E-02	2.51E-04	2.17E-03	5.23E-03	7.19E-03
ATP2B4_boot.180	0.00E+00	3.58E-03	3.25E-04	7.28E-03	2.63E-04	1.05E-03	2.27E-03	1.11E-03
ATP2B4_boot.181	1.94E-03	3.69E-03	5.78E-04	1.00E-02	6.78E-04	0.00E+00	2.39E-03	1.80E-03
ATP2B4_boot.182	0.00E+00	6.91E-03	3.13E-04	1.35E-02	2.54E-04	1.54E-03	1.92E-03	2.78E-03
ATP2B4_boot.183	1.78E-03	3.26E-03	4.77E-04	1.27E-02	6.47E-04	0.00E+00	1.28E-03	6.16E-03
ATP2B4_boot.184	5.54E-04	7.73E-03	3.68E-04	1.13E-02	3.97E-04	1.76E-03	3.49E-03	2.96E-03
ATP2B4_boot.185	2.52E-16	8.37E-04	3.30E-04	6.76E-03	5.54E-04	0.00E+00	8.73E-04	4.17E-03
ATP2B4_boot.186	1.61E-03	6.13E-03	5.28E-04	8.83E-03	1.96E-47	1.42E-03	3.40E-03	3.67E-03
ATP2B4_boot.187	2.83E-03	1.53E-02	4.82E-04	1.82E-02	8.20E-04	2.44E-03	5.18E-03	6.89E-03
ATP2B4_boot.188	1.47E-03	3.14E-03	3.55E-04	1.06E-02	5.72E-10	1.14E-03	2.00E-03	3.12E-03
ATP2B4_boot.189	1.56E-144	5.47E-03	4.18E-04	9.07E-03	2.85E-04	1.61E-03	3.46E-03	2.64E-03
ATP2B4_boot.190	1.07E-03	3.03E-03	2.38E-50	1.02E-02	3.56E-04	6.09E-04	1.72E-03	3.59E-03
ATP2B4_boot.191	1.06E-03	4.11E-03	3.33E-04	1.08E-02	4.32E-04	0.00E+00	2.67E-03	1.90E-03
ATP2B4_boot.192	1.97E-03	7.08E-03	2.51E-04	1.24E-02	2.48E-04	0.00E+00	3.07E-03	1.20E-03
ATP2B4_boot.193	0.00E+00	8.78E-03	6.86E-04	1.24E-02	6.18E-04	1.91E-03	3.88E-03	3.29E-03
ATP2B4_boot.194	1.28E-03	5.72E-03	5.50E-04	8.47E-03	3.08E-06	1.36E-03	2.78E-03	2.56E-03
ATP2B4_boot.195	2.11E-03	7.31E-03	5.64E-04	1.53E-02	0.00E+00	1.49E-03	3.23E-03	1.93E-03
ATP2B4_boot.196	8.98E-04	1.67E-03	8.11E-04	7.11E-03	1.74E-03	5.02E-04	2.65E-03	9.35E-03
ATP2B4_boot.197	8.08E-04	1.40E-05	0.00E+00	1.48E-02	1.44E-110	9.15E-04	1.13E-03	1.44E-02
ATP2B4_boot.198	5.04E-04	6.76E-03	2.73E-04	4.81E-03	9.10E-04	5.88E-04	4.17E-04	2.08E-03
ATP2B4_boot.199	8.33E-04	4.32E-03	4.32E-04	1.62E-03	0.00E+00	0.00E+00	2.02E-03	7.18E-03
