Signatures	Stability	Total Mutations
SBS96A	0.995	137872
SBS96B	0.998	121192
SBS96C	0.997	111779
SBS96D	0.669	87626
SBS96E	0.724	80696
SBS96F	0.804	71803
SBS96G	0.935	67683
SBS96H	0.962	63316
SBS96I	0.97	50162
SBS96J	0.957	48341
SBS96K	0.542	44195
SBS96L	0.595	37654
SBS96M	0.741	35647
SBS96N	0.84	34856
SBS96O	0.301	34178
SBS96P	0.203	29098
SBS96Q	0.117	28119
SBS96R	0.769	26465
SBS96S	0.994	22735
SBS96T	0.204	20740
SBS96U	0.162	19938
SBS96V	0.789	18045
SBS96W	0.588	14538
SBS96X	0.45	14413
