Signatures	Stability	Total Mutations
SBS96A	0.974	158554
SBS96B	0.679	141953
SBS96C	0.992	129078
SBS96D	0.997	125551
SBS96E	-0.025	113461
SBS96F	0.891	83960
SBS96G	0.819	75770
SBS96H	0.098	71959
SBS96I	0.951	70710
SBS96J	0.408	67410
SBS96K	0.814	48406
SBS96L	0.969	43500
SBS96M	0.333	36754
SBS96N	0.589	27539
SBS96O	0.986	26486
