Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
MLH1_boot.25	9.34E-02	8.51E-02	9.06E-02	0.00E+00	1.06E-01	1.45E-01	1.04E-01	1.53E-01	1.23E-01
MLH1_boot.26	9.43E-02	8.29E-02	9.13E-02	0.00E+00	1.06E-01	1.16E-01	1.12E-01	1.48E-01	1.21E-01
MLH1_boot.27	9.29E-02	8.38E-02	9.04E-02	0.00E+00	1.07E-01	1.60E-01	9.71E-02	1.52E-01	1.23E-01
MLH1_boot.28	9.19E-02	8.77E-02	8.99E-02	0.00E+00	1.08E-01	2.01E-01	7.88E-02	1.63E-01	1.24E-01
MLH1_boot.29	9.19E-02	9.00E-02	8.94E-02	0.00E+00	1.07E-01	1.41E-01	1.07E-01	1.64E-01	1.23E-01
MLH1_boot.30	9.30E-02	8.38E-02	9.19E-02	0.00E+00	1.08E-01	1.75E-01	9.15E-02	1.54E-01	1.25E-01
MLH1_boot.31	9.40E-02	8.32E-02	9.47E-02	0.00E+00	1.11E-01	1.90E-01	8.69E-02	1.60E-01	1.28E-01
MLH1_boot.32	9.11E-02	8.60E-02	8.96E-02	0.00E+00	1.07E-01	1.91E-01	8.68E-02	1.59E-01	1.24E-01
MLH1_boot.33	9.35E-02	8.19E-02	9.38E-02	0.00E+00	1.10E-01	1.78E-01	9.28E-02	1.55E-01	1.27E-01
MLH1_boot.34	9.38E-02	8.40E-02	8.93E-02	0.00E+00	1.04E-01	1.54E-01	9.64E-02	1.47E-01	1.20E-01
MLH1_boot.35	0.00E+00	4.21E-02	1.36E-01	0.00E+00	1.35E-01	1.48E-01	1.25E-01	1.18E-01	1.21E-01
MLH1_boot.36	9.29E-02	8.68E-02	9.01E-02	0.00E+00	1.07E-01	1.89E-01	8.38E-02	1.59E-01	1.23E-01
MLH1_boot.37	0.00E+00	4.41E-02	1.38E-01	0.00E+00	1.35E-01	1.27E-01	1.22E-01	1.19E-01	1.24E-01
MLH1_boot.38	9.25E-02	8.53E-02	9.79E-02	0.00E+00	1.12E-01	1.38E-01	1.15E-01	1.71E-01	1.30E-01
MLH1_boot.39	8.92E-02	1.42E-01	9.68E-02	0.00E+00	1.12E-01	2.51E-01	7.84E-02	1.71E-01	1.29E-01
MLH1_boot.40	0.00E+00	3.83E-02	1.32E-01	0.00E+00	1.49E-01	1.56E-01	1.23E-01	1.29E-01	1.61E-01
MLH1_boot.41	9.16E-02	1.39E-01	9.52E-02	0.00E+00	1.10E-01	2.37E-01	1.06E-01	1.71E-01	1.43E-01
MLH1_boot.42	0.00E+00	4.08E-02	1.27E-01	0.00E+00	1.42E-01	1.51E-01	1.20E-01	1.24E-01	1.56E-01
MLH1_boot.43	0.00E+00	4.05E-02	1.29E-01	0.00E+00	1.45E-01	1.50E-01	1.17E-01	1.27E-01	1.65E-01
MLH1_boot.44	9.40E-02	8.35E-02	9.82E-02	0.00E+00	1.14E-01	2.30E-01	8.57E-02	1.68E-01	1.32E-01
MLH1_boot.45	0.00E+00	3.70E-02	1.31E-01	0.00E+00	1.47E-01	1.60E-01	1.27E-01	1.27E-01	1.66E-01
MLH1_boot.46	0.00E+00	3.75E-02	1.31E-01	0.00E+00	1.48E-01	1.55E-01	1.32E-01	1.28E-01	1.42E-01
MLH1_boot.47	0.00E+00	4.04E-02	1.27E-01	0.00E+00	1.43E-01	1.53E-01	1.20E-01	1.25E-01	1.67E-01
MLH1_boot.48	0.00E+00	3.96E-02	1.29E-01	0.00E+00	1.44E-01	1.53E-01	1.20E-01	1.26E-01	1.70E-01
MLH1_boot.49	9.24E-02	1.31E-01	9.62E-02	0.00E+00	1.10E-01	2.00E-01	8.80E-02	1.65E-01	1.26E-01
MLH1_boot.50	9.15E-02	1.22E-01	9.44E-02	0.00E+00	1.08E-01	1.95E-01	8.61E-02	1.31E-01	1.24E-01
MLH1_boot.51	0.00E+00	4.00E-02	1.30E-01	0.00E+00	1.47E-01	1.50E-01	1.19E-01	1.27E-01	1.64E-01
MLH1_boot.52	9.18E-02	8.74E-02	9.37E-02	0.00E+00	1.11E-01	1.95E-01	9.13E-02	1.70E-01	1.28E-01
