Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
BRCA_TCGA-A7-A5ZV	4	24	6	22	163	49
BRCA_TCGA-A7-A5ZW	3	8	0	9	1	15
BRCA_TCGA-A7-A5ZX	6	4	0	5	19	8
BRCA_TCGA-A7-A6VV	0	12	11	0	29	12
BRCA_TCGA-A7-A6VW	0	5	7	12	55	13
BRCA_TCGA-A7-A6VX	0	1	17	13	90	56
BRCA_TCGA-A7-A6VY	7	6	14	18	60	31
BRCA_TCGA-A8-A075	2	6	4	2	48	38
BRCA_TCGA-AC-A23C	9	11	7	21	26	71
BRCA_TCGA-AC-A23E	3	9	0	0	12	0
BRCA_TCGA-AC-A23H	0	0	0	0	0	6378
BRCA_TCGA-AC-A2B8	0	8	3	4	7	106
BRCA_TCGA-AC-A2BK	1	29	7	15	51	7
BRCA_TCGA-AC-A2BM	0	4	3	1	16	2
BRCA_TCGA-AC-A2FB	0	3	0	4	5	5
BRCA_TCGA-AC-A2FF	0	0	1	0	4	6
BRCA_TCGA-AC-A2FG	1	8	2	4	12	12
BRCA_TCGA-AC-A2FK	0	0	0	0	2	1
BRCA_TCGA-AC-A2FO	4	1	0	0	6	16
BRCA_TCGA-AC-A2QH	0	11	8	0	3	5
BRCA_TCGA-AC-A3HN	0	6	0	4	8	4
BRCA_TCGA-AC-A3OD	8	9	9	1	2	10
BRCA_TCGA-AC-A3QP	3	3	0	6	21	2
BRCA_TCGA-AC-A3QQ	0	11	4	1	17	3
BRCA_TCGA-AC-A3W5	0	15	13	10	86	87
BRCA_TCGA-AC-A3YI	3	4	0	4	6	1
BRCA_TCGA-AC-A3YJ	1	11	0	4	14	8
BRCA_TCGA-AC-A4ZE	1	15	7	13	24	14
BRCA_TCGA-AC-A5EH	13	5	21	18	110	38
BRCA_TCGA-AC-A5EI	2	10	0	5	12	14
BRCA_TCGA-AC-A5XS	38	9	3	0	1	664
BRCA_TCGA-AC-A5XU	1	40	10	0	34	28
BRCA_TCGA-AC-A62V	7	44	11	6	24	14
BRCA_TCGA-AC-A62X	6	42	1	1	32	5
BRCA_TCGA-AC-A62Y	0	14	5	9	24	37
BRCA_TCGA-AC-A6IV	4	5	5	1	11	1
BRCA_TCGA-AC-A6IW	0	25	8	10	75	113
BRCA_TCGA-AC-A6IX	0	11	4	11	8	37
BRCA_TCGA-AC-A6NO	1	11	2	10	14	5
BRCA_TCGA-AC-A7VB	0	14	4	5	12	0
BRCA_TCGA-AC-A7VC	3	9	1	4	8	1
BRCA_TCGA-AC-A8OP	27	41	47	13	77	39
BRCA_TCGA-AC-A8OQ	9	29	6	6	57	30
BRCA_TCGA-AC-A8OR	0	8	6	2	15	1
BRCA_TCGA-AC-A8OS	0	8	0	10	38	23
BRCA_TCGA-AN-A0XL	6	6	6	2	18	2
BRCA_TCGA-AN-A0XN	10	6	15	22	99	23
BRCA_TCGA-AN-A0XO	5	6	0	11	5	16
BRCA_TCGA-AN-A0XP	1	5	0	11	8	9
BRCA_TCGA-AN-A0XR	0	5	5	0	19	9
BRCA_TCGA-AN-A0XS	3	5	3	3	9	9
BRCA_TCGA-AN-A0XT	0	8	3	0	9	2
BRCA_TCGA-AN-A0XU	17	3	15	6	71	25
BRCA_TCGA-AN-A0XV	3	13	1	9	10	8
BRCA_TCGA-AN-A0XW	0	0	0	0	0	423
BRCA_TCGA-AO-A03M	0	0	0	0	0	1150
BRCA_TCGA-AO-A03N	8	14	16	0	0	96
BRCA_TCGA-AO-A03U	0	0	0	0	2	3
BRCA_TCGA-AO-A03V	6	6	4	3	29	24
BRCA_TCGA-AO-A0JG	4	0	4	3	8	2
BRCA_TCGA-AO-A124	15	9	8	12	116	18
BRCA_TCGA-AO-A125	5	11	11	0	11	7
BRCA_TCGA-AO-A126	2	6	0	0	11	6
BRCA_TCGA-AO-A128	0	429	261	485	14	21
BRCA_TCGA-AO-A129	1	7	15	10	68	43
BRCA_TCGA-AO-A12A	0	8	0	0	5	6
BRCA_TCGA-AO-A12B	0	9	1	0	12	1
BRCA_TCGA-AO-A12D	7	9	0	0	16	41
BRCA_TCGA-AO-A12E	0	14	0	1	13	5
BRCA_TCGA-AO-A12F	5	18	3	4	10	0
BRCA_TCGA-AO-A12G	0	11	2	8	11	10
BRCA_TCGA-AO-A12H	1	8	1	6	12	2
BRCA_TCGA-AO-A1KO	2	0	0	5	3	0
BRCA_TCGA-AO-A1KR	2	7	5	12	44	19
BRCA_TCGA-AO-A1KT	2	13	1	16	13	6
BRCA_TCGA-AQ-A04H	4	37	0	7	25	8
BRCA_TCGA-AQ-A0Y5	2	22	0	3	15	28
BRCA_TCGA-AQ-A1H2	2	11	0	4	14	3
BRCA_TCGA-AQ-A1H3	0	15	0	0	12	0
BRCA_TCGA-AQ-A54O	0	5	3	1	11	5
BRCA_TCGA-AQ-A7U7	2	11	1	8	1	73
BRCA_TCGA-AR-A0TP	0	0	8	11	41	11
BRCA_TCGA-AR-A0TQ	2	7	6	1	15	18
BRCA_TCGA-AR-A0TR	2	11	5	12	7	5
BRCA_TCGA-AR-A0TS	0	10	13	0	49	18
BRCA_TCGA-AR-A0TT	1	17	2	11	23	21
BRCA_TCGA-AR-A0TU	6	9	10	2	47	16
BRCA_TCGA-AR-A0TV	0	16	7	6	39	11
BRCA_TCGA-AR-A0TW	9	18	8	3	23	6
BRCA_TCGA-AR-A0TX	4	9	0	2	0	392
BRCA_TCGA-AR-A0TZ	14	13	1	3	4	32
BRCA_TCGA-AR-A0U0	6	4	4	1	23	12
BRCA_TCGA-AR-A0U1	4	0	0	22	64	19
BRCA_TCGA-AR-A0U2	0	21	10	5	19	1
BRCA_TCGA-AR-A0U3	7	13	8	1	9	2
BRCA_TCGA-AR-A0U4	12	1	12	7	91	78
BRCA_TCGA-AR-A1AH	14	9	13	20	53	11
BRCA_TCGA-AR-A1AI	8	15	12	8	21	25
BRCA_TCGA-AR-A1AJ	0	14	0	5	1	33
BRCA_TCGA-AR-A1AK	5	13	0	1	18	45
BRCA_TCGA-AR-A1AL	0	5	0	8	8	9
BRCA_TCGA-AR-A1AN	0	16	0	1	8	6
BRCA_TCGA-AR-A1AO	7	10	1	4	61	39
BRCA_TCGA-AR-A1AP	4	17	0	3	13	14
BRCA_TCGA-AR-A1AQ	0	9	8	7	12	5
BRCA_TCGA-AR-A1AR	1	10	0	0	41	11
BRCA_TCGA-AR-A1AS	4	7	5	5	0	20
BRCA_TCGA-AR-A1AT	0	7	4	3	15	3
BRCA_TCGA-AR-A1AU	0	8	0	3	12	3
BRCA_TCGA-AR-A1AV	5	17	0	3	17	7
BRCA_TCGA-AR-A1AW	0	9	5	11	12	4
BRCA_TCGA-AR-A1AX	5	6	1	1	14	5
BRCA_TCGA-AR-A1AY	2	14	6	6	26	18
BRCA_TCGA-AR-A24H	10	6	14	5	80	37
BRCA_TCGA-AR-A24K	2	4	10	2	16	0
BRCA_TCGA-AR-A24L	0	2	1	6	34	10
BRCA_TCGA-AR-A24M	0	5	5	5	8	2
BRCA_TCGA-AR-A24N	0	13	8	4	14	8
