Signatures	Stability	Total Mutations
SBS96A	0.977	154175
SBS96B	0.946	133971
SBS96C	0.684	133671
SBS96D	0.995	114714
SBS96E	-0.427	88920
SBS96F	0.934	86383
SBS96G	0.509	75120
SBS96H	0.832	74905
SBS96I	0.935	60064
SBS96J	0.793	55984
SBS96K	0.721	54491
SBS96L	0.203	53077
SBS96M	0.029	39353
SBS96N	0.966	38456
SBS96O	0.807	33788
SBS96P	0.989	24019
