Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
EXO1_0_multinomial_train1.42	1.03E-01	3.49E-02	3.73E-02	9.51E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.43	9.94E-02	3.17E-02	3.55E-02	7.43E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.44	1.00E-01	3.60E-02	3.80E-02	8.77E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.45	1.01E-01	3.36E-02	3.65E-02	1.03E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.46	1.01E-01	3.30E-02	3.66E-02	1.00E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.47	1.02E-01	3.24E-02	3.66E-02	9.00E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.48	1.02E-01	3.64E-02	3.99E-02	9.27E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.49	1.01E-01	3.35E-02	3.37E-02	1.13E-02	1.33E-26	1.53E-26
EXO1_0_multinomial_train1.50	1.00E-01	3.34E-02	3.49E-02	8.75E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.51	1.00E-01	3.27E-02	3.61E-02	8.78E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.52	1.00E-01	3.21E-02	3.64E-02	8.71E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.53	1.03E-01	3.41E-02	3.64E-02	8.93E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.54	1.03E-01	3.20E-02	3.52E-02	1.07E-02	1.33E-26	1.53E-26
EXO1_0_multinomial_train1.55	1.01E-01	3.49E-02	3.66E-02	9.23E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.56	9.94E-02	3.37E-02	3.53E-02	7.28E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.57	9.97E-02	3.33E-02	3.42E-02	9.39E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.58	1.02E-01	3.75E-02	4.04E-02	7.78E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.59	1.01E-01	3.55E-02	3.77E-02	8.28E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.60	1.01E-01	3.35E-02	3.66E-02	1.02E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.61	1.00E-01	3.37E-02	3.64E-02	9.06E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.62	9.97E-02	3.26E-02	3.57E-02	8.21E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.63	1.01E-01	3.21E-02	3.37E-02	9.50E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.64	1.02E-01	3.36E-02	3.70E-02	9.76E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.65	1.01E-01	3.30E-02	3.56E-02	1.06E-02	1.33E-26	1.53E-26
EXO1_0_multinomial_train1.66	1.01E-01	3.53E-02	3.73E-02	8.50E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.67	9.94E-02	3.21E-02	3.30E-02	9.23E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.68	1.03E-01	3.61E-02	3.55E-02	1.06E-02	1.53E-26	2.88E-10
EXO1_0_multinomial_train1.69	9.84E-02	3.54E-02	3.51E-02	6.62E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.70	1.00E-01	3.07E-02	3.34E-02	1.02E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.71	1.03E-01	3.49E-02	3.75E-02	9.26E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.72	1.01E-01	3.28E-02	3.55E-02	1.02E-02	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.73	1.01E-01	3.63E-02	3.62E-02	9.57E-03	1.53E-26	1.53E-26
EXO1_0_multinomial_train1.74	1.01E-01	3.45E-02	3.74E-02	7.70E-03	1.53E-26	1.53E-26
