Signatures	Stability	Total Mutations
SBS96A	0.998	141888
SBS96B	0.997	120696
SBS96C	0.997	114078
SBS96D	0.748	107377
SBS96E	0.799	81241
SBS96F	-0.08	78388
SBS96G	0.87	71154
SBS96H	0.96	68911
SBS96I	0.747	57635
SBS96J	0.938	53412
SBS96K	0.96	53233
SBS96L	0.681	40586
SBS96M	0.292	37299
SBS96N	0.586	36128
SBS96O	0.955	35389
SBS96P	-0.081	25796
SBS96Q	0.997	22430
SBS96R	-0.082	22325
SBS96S	0.793	20275
SBS96T	0.57	17526
SBS96U	0.653	15324
