	0	1	2	3	4	5	6	7	8	9
1000	[2.6232873722212475, 2.4188749254788644, 2.0441244674238312, 1.0, 0.0]	[2.7760773249582815, 2.414826997345328, 3.612503276129537, 1.0, 0.0]	[2.6325153618644666, 2.428183244660711, 2.0433211720375564, 1.0, 0.0]	[2.61869440892237, 2.417864298018149, 2.0083011090422067, 1.0, 0.0]	[2.69675944640519, 2.3653593625644165, 3.3140008384077344, 1.0, 0.0]	[2.6664459808469565, 2.437905195474255, 2.285407853727011, 1.0, 0.0]	[2.617545758459144, 2.4213702278719564, 1.9617553058718786, 1.0, 0.0]	[2.6153903772196294, 2.414426359784047, 2.00964017435582, 1.0, 0.0]	[2.624867447172899, 2.418041254837109, 2.0682619233579027, 1.0, 0.0]	[2.6235774221840966, 2.42118187934944, 2.0239554283465644, 1.0, 0.0]
2000	[2.567885187390008, 2.3920712202837713, 1.7581396710623673, 1.0, 0.0]	[2.5832141518455027, 2.372428986370411, 2.10785165475092, 1.0, 0.0]	[2.567916975819185, 2.3941549880749613, 1.7376198774422362, 1.0, 0.0]	[2.5654507412449723, 2.392712962726916, 1.727377785180562, 1.0, 0.0]	[2.6291329414658238, 2.3479220571235166, 2.8121088434230694, 1.0, 0.0]	[2.5728991367110416, 2.397137259238826, 1.757618774722158, 1.0, 0.0]	[2.5651984616748784, 2.3919756638964866, 1.7322279777839178, 1.0, 0.0]	[2.5651630717481586, 2.3898616321109882, 1.753014396371704, 1.0, 0.0]	[2.568424449327754, 2.390642666532532, 1.7778178279522172, 1.0, 0.0]	[2.5690429531634473, 2.3926441573428736, 1.763987958205738, 1.0, 0.0]
3000	[2.5516326364769526, 2.3814069854701483, 1.7022565100680445, 1.0, 0.0]	[2.543172928307167, 2.363837744707622, 1.7933518359954508, 1.0, 0.0]	[2.550601386385991, 2.3825825446829074, 1.6801884170308343, 1.0, 0.0]	[2.549303230994168, 2.3820649079452605, 1.672383230489076, 1.0, 0.0]	[2.6135012191661913, 2.3403452533281155, 2.7315596583807595, 1.0, 0.0]	[2.5499575247934088, 2.382978324500574, 1.6697920029283484, 1.0, 0.0]	[2.5491169619668876, 2.3808634233597683, 1.6825353860711936, 1.0, 0.0]	[2.5494499548002842, 2.380033807569543, 1.6941614723074137, 1.0, 0.0]	[2.551247438882523, 2.3793022495668397, 1.71945189315683, 1.0, 0.0]	[2.5527603603403333, 2.381878930017373, 1.7088143032296061, 1.0, 0.0]
4000	[2.5440183331703574, 2.375855269408143, 1.6816306376221464, 1.0, 0.0]	[2.5346565615899515, 2.363164240410458, 1.7149232117949356, 1.0, 0.0]	[2.5432066232737647, 2.375934906066371, 1.6727171720739378, 1.0, 0.0]	[2.5421698530306336, 2.3764680913223946, 1.6570176170823916, 1.0, 0.0]	[2.6068273802266617, 2.335697380746274, 2.711299994803877, 1.0, 0.0]	[2.542641519592525, 2.376396767441167, 1.662447521513584, 1.0, 0.0]	[2.5425006038546587, 2.3755103166489775, 1.6699028720568139, 1.0, 0.0]	[2.5426718888913413, 2.3751515724682664, 1.6752031642307494, 1.0, 0.0]	[2.545042805460758, 2.374585700997663, 1.704571044630948, 1.0, 0.0]	[2.5454223794117192, 2.3764707546950485, 1.689516247166705, 1.0, 0.0]
5000	[2.540972051298043, 2.373351613831717, 1.6762043746632624, 1.0, 0.0]	[2.5341351761896656, 2.362664466251198, 1.714707099384672, 1.0, 0.0]	[2.5401115847802043, 2.3729151843821152, 1.6719640039808916, 1.0, 0.0]	[2.5391017464134173, 2.373354007882901, 1.657477385305163, 1.0, 0.0]	[2.602286296255781, 2.3335392495189184, 2.687470467368625, 1.0, 0.0]	[2.5400755267690878, 2.3733572287264955, 1.6671829804259208, 1.0, 0.0]	[2.5396967853303383, 2.3739509796158567, 1.6574580571448172, 1.0, 0.0]	[2.5398801312478203, 2.3731307902700536, 1.667493409777666, 1.0, 0.0]	[2.5416904286412647, 2.371692600703185, 1.6999782793807983, 1.0, 0.0]	[2.5426249339393854, 2.373375737299721, 1.6924919663966413, 1.0, 0.0]
6000	[2.5390266810425457, 2.371540503749445, 1.6748617729310105, 1.0, 0.0]	[2.532952571422884, 2.3629587911205765, 1.6999378030230758, 1.0, 0.0]	[2.5383734013683266, 2.3714061707947516, 1.6696723057357512, 1.0, 0.0]	[2.537901984302429, 2.372093087545188, 1.6580889675724109, 1.0, 0.0]	[2.6006852877551494, 2.3323099901617232, 2.683752975934261, 1.0, 0.0]	[2.53876744244275, 2.3717174322487877, 1.6705001019396235, 1.0, 0.0]	[2.5382175030807805, 2.372356668346799, 1.6586083473398154, 1.0, 0.0]	[2.5386628421646145, 2.3717383486870998, 1.6692449347751468, 1.0, 0.0]	[2.539510508769214, 2.3701208891330183, 1.6938961963619557, 1.0, 0.0]	[2.5405818061813816, 2.3715180967016964, 1.6906370947968523, 1.0, 0.0]
7000	[2.538093521804387, 2.3703713587160724, 1.6772216308831467, 1.0, 0.0]	[2.5335511074918484, 2.3643144688345017, 1.692366386573466, 1.0, 0.0]	[2.5374554463358914, 2.3703152752452943, 1.6714017109059687, 1.0, 0.0]	[2.5370616752715756, 2.3709312909862907, 1.6613038428528488, 1.0, 0.0]	[2.6000037736657333, 2.3314664168132846, 2.6853735685244877, 1.0, 0.0]	[2.537702207683749, 2.3701609093136162, 1.6754129837013303, 1.0, 0.0]	[2.5375763290030418, 2.371286584156163, 1.6628974484687868, 1.0, 0.0]	[2.5376286057827073, 2.370706788467463, 1.669218173152442, 1.0, 0.0]	[2.538633553589374, 2.3690532730869975, 1.695802805023763, 1.0, 0.0]	[2.539347083283796, 2.3702934813065495, 1.6905360197724648, 1.0, 0.0]
8000	[2.5373520768305164, 2.369587698103212, 1.6776437872730452, 1.0, 0.0]	[2.5344607713646816, 2.3645848288092184, 1.6987594255546323, 1.0, 0.0]	[2.5368768998839464, 2.3697125696110306, 1.6716433027291568, 1.0, 0.0]	[2.536708734534974, 2.370184368442207, 1.665243660927671, 1.0, 0.0]	[2.5998294331898224, 2.3308695939285284, 2.6895983926129383, 1.0, 0.0]	[2.5369365174238454, 2.3695614111372154, 1.6737510628663004, 1.0, 0.0]	[2.537180073757628, 2.370605288799573, 1.6657478495805513, 1.0, 0.0]	[2.5371353798580287, 2.369995971649579, 1.6713940820844995, 1.0, 0.0]	[2.5381830485043975, 2.3683319063019352, 1.698511422024621, 1.0, 0.0]	[2.538800297087653, 2.3693598293723865, 1.6944046771526646, 1.0, 0.0]
9000	[2.53716654641031, 2.369246772263239, 1.6791977414707104, 1.0, 0.0]	[2.535148376839824, 2.365167437835841, 1.699809390039833, 1.0, 0.0]	[2.536683689087414, 2.369313392692457, 1.6737029639495642, 1.0, 0.0]	[2.5365105108315404, 2.369699527150305, 1.6681098368123561, 1.0, 0.0]	[2.5994320196161294, 2.330407435057758, 2.6902458455837155, 1.0, 0.0]	[2.536701010838243, 2.3691704615459797, 1.6753054929226336, 1.0, 0.0]	[2.5370017995693357, 2.3699834889997433, 1.6701831056959224, 1.0, 0.0]	[2.536850819206201, 2.3694149728086344, 1.6743584639756648, 1.0, 0.0]	[2.5379578016611384, 2.3679302014698735, 1.7002760019126495, 1.0, 0.0]	[2.538357784283462, 2.368708173908498, 1.6964961037496396, 1.0, 0.0]
10000	[2.536884476179305, 2.368787223058862, 1.6809725312044308, 1.0, 0.0]	[2.535649046581447, 2.365644885608637, 1.700041609728097, 1.0, 0.0]	[2.53652628042241, 2.369058301777605, 1.6746797864480483, 1.0, 0.0]	[2.5363405735465063, 2.369347701616658, 1.6699287192984822, 1.0, 0.0]	[2.599234735312628, 2.3301333188529405, 2.6910141645968784, 1.0, 0.0]	[2.5367098401464827, 2.3690302867201214, 1.6767955342636138, 1.0, 0.0]	[2.536775969451105, 2.369534716110145, 1.672412533409601, 1.0, 0.0]	[2.5366885529468735, 2.3690012338048403, 1.6768731914203328, 1.0, 0.0]	[2.537675483113348, 2.3675690801374527, 1.7010640297589523, 1.0, 0.0]	[2.538227027506671, 2.3682231963689855, 1.7000383113768565, 1.0, 0.0]
