Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S
BRCA_TCGA-AR-A2LL	3	14	0	1	1	0	0	0	1	0	2	5	1	0	1	6	0	0	2
BRCA_TCGA-AR-A2LM	0	1	0	2	0	0	0	0	0	0	2	1	0	0	1	7	0	1	2
BRCA_TCGA-AR-A2LN	0	4	1	5	0	2	0	2	0	4	0	2	0	7	24	2	0	1	0
BRCA_TCGA-AR-A2LO	0	2	1	1	0	1	0	0	0	0	0	0	0	2	1	3	2	0	4
BRCA_TCGA-AR-A2LQ	0	2	1	0	0	3	0	0	0	0	2	3	0	0	0	2	0	0	0
BRCA_TCGA-AR-A2LR	1	5	7	3	0	0	4	0	4	1	0	12	4	2	1	15	0	7	4
BRCA_TCGA-AR-A5QM	0	8	2	2	0	0	0	3	0	0	3	5	1	0	1	5	0	3	3
BRCA_TCGA-AR-A5QN	0	4	6	4	5	11	0	0	2	2	1	5	0	2	6	0	0	0	1
BRCA_TCGA-AR-A5QP	1	6	1	2	0	0	0	0	3	5	1	4	0	1	5	3	0	0	2
BRCA_TCGA-AR-A5QQ	1	1	1	1	7	16	1	0	6	6	5	7	0	10	2	20	4	1	7
BRCA_TCGA-B6-A0I1	0	18	0	4	0	0	0	0	5	3	0	0	1	2	6	24	0	9	8
BRCA_TCGA-B6-A0IH	0	2	8	3	3	3	0	0	2	2	0	3	3	0	4	0	0	3	5
BRCA_TCGA-B6-A0RH	0	8	0	2	0	0	2	0	5	1	0	0	0	11	8	5	0	0	3
BRCA_TCGA-B6-A0RL	1	5	4	3	0	18	0	0	10	0	0	3	1	11	8	0	2	1	2
BRCA_TCGA-B6-A0RM	0	6	2	2	5	2	2	0	1	1	0	0	0	3	5	2	0	1	4
BRCA_TCGA-B6-A0RN	0	9	2	2	1	1	0	2	4	1	2	0	0	0	2	5	1	1	0
BRCA_TCGA-B6-A0RO	0	0	1	5	1	1	0	2	6	0	3	9	2	3	0	9	1	0	0
BRCA_TCGA-B6-A0RP	0	0	3	0	0	6	0	0	2	0	1	8	0	0	2	4	0	2	2
BRCA_TCGA-B6-A0RQ	1	4	3	3	1	0	0	0	0	1	4	5	0	7	16	0	2	4	5
BRCA_TCGA-B6-A0RT	1	0	2	2	1	10	4	0	0	1	1	5	9	19	0	17	0	0	0
BRCA_TCGA-B6-A0RU	1	0	5	5	0	8	0	1	2	2	5	0	1	2	6	6	2	3	9
BRCA_TCGA-B6-A0RV	2	7	0	3	0	0	0	0	0	1	0	0	0	36	13	0	0	0	5
BRCA_TCGA-B6-A0WS	1	0	1	0	0	2	2	0	2	1	5	0	0	2	1	0	0	0	1
BRCA_TCGA-B6-A0WT	1	2	2	3	0	5	1	0	0	0	5	0	0	0	2	0	0	1	0
BRCA_TCGA-B6-A0WV	0	4	0	0	6	0	0	0	3	0	2	4	1	3	3	8	2	0	1
BRCA_TCGA-B6-A0WW	1	1	2	3	0	13	2	0	0	1	3	0	0	6	6	5	0	4	0
BRCA_TCGA-B6-A0WX	1	7	1	3	5	4	0	0	2	3	2	0	0	1	0	12	0	4	0
BRCA_TCGA-B6-A0WY	0	2	5	3	3	0	0	2	1	2	1	0	0	6	2	6	0	0	2
BRCA_TCGA-B6-A0WZ	1	1	2	6	0	0	0	0	4	0	0	0	0	41	35	0	0	2	3
BRCA_TCGA-B6-A0X0	1	0	0	2	0	9	0	0	0	0	1	0	1	1	2	3	0	3	2
BRCA_TCGA-B6-A0X1	2	1	1	6	3	2	0	2	6	5	6	12	0	15	5	26	0	0	0
BRCA_TCGA-B6-A0X4	3	1	0	5	0	9	0	0	0	0	0	2	0	0	1	1	0	0	0
BRCA_TCGA-B6-A0X5	5	0	2	7	0	0	1	0	4	4	4	0	2	3	3	0	0	12	1
BRCA_TCGA-B6-A0X7	0	4	0	2	5	1	0	0	0	0	1	2	0	3	4	0	0	1	0
BRCA_TCGA-B6-A1KN	5	5	4	0	0	3	0	1	7	1	4	7	6	2	6	10	0	5	6
BRCA_TCGA-B6-A2IU	0	0	5	8	6	9	0	0	0	0	3	2	0	7	12	0	0	2	0
BRCA_TCGA-B6-A401	0	3	4	2	0	0	0	0	4	0	0	6	0	1	0	2	1	1	4
BRCA_TCGA-B6-A409	0	8	3	3	0	3	0	0	2	0	4	7	5	5	4	6	2	4	0
BRCA_TCGA-B6-A40B	1	1	4	1	2	10	0	0	2	0	4	6	0	9	14	11	0	0	1
BRCA_TCGA-B6-A40C	3	20	0	0	4	0	0	0	1	0	2	1	1	2	6	6	0	4	4
BRCA_TCGA-BH-A0AU	0	4	2	0	3	0	0	0	1	0	0	0	5	3	0	1	1	1	2
BRCA_TCGA-BH-A0AV	1	0	2	2	4	0	3	1	4	4	5	17	0	12	2	26	0	0	4
BRCA_TCGA-BH-A0AY	1	6	1	5	0	0	0	0	3	1	0	4	3	4	3	2	0	8	5
BRCA_TCGA-BH-A0AZ	0	0	0	0	3	6	3	0	4	0	3	0	4	15	6	9	3	4	10
BRCA_TCGA-BH-A0B0	0	0	5	12	0	0	0	0	0	0	0	0	0	39	36	0	0	0	7
BRCA_TCGA-BH-A0B3	1	1	2	1	0	3	0	1	0	0	0	0	0	2	1	6	0	0	0
BRCA_TCGA-BH-A0B6	19	6	4	85	0	16	0	0	23	0	0	0	0	772	356	0	3	6	0
BRCA_TCGA-BH-A0B7	0	1	4	5	0	7	0	0	0	0	0	7	0	8	1	6	3	0	0
BRCA_TCGA-BH-A0B8	1	2	1	1	3	0	0	0	5	0	0	5	1	0	8	5	0	2	0
BRCA_TCGA-BH-A0BA	0	3	2	1	2	0	2	0	2	0	3	0	2	4	3	4	0	0	1
BRCA_TCGA-BH-A0BC	0	7	4	3	0	0	2	0	2	0	1	4	0	6	6	2	0	2	6
BRCA_TCGA-BH-A0BF	0	3	2	2	2	1	0	0	1	0	3	4	3	7	0	5	0	0	0
BRCA_TCGA-BH-A0BG	0	1	3	0	0	3	0	2	1	1	1	5	1	7	0	17	0	1	2
BRCA_TCGA-BH-A0BJ	0	1	1	1	0	0	0	0	2	1	0	0	3	0	1	1	0	3	3
BRCA_TCGA-BH-A0BL	3	6	3	3	1	7	1	0	0	1	1	3	3	2	0	24	1	6	4
BRCA_TCGA-BH-A0BM	1	0	1	0	0	0	0	0	2	1	0	5	0	2	1	0	0	6	0
BRCA_TCGA-BH-A0BO	0	4	0	2	2	1	0	0	3	0	11	2	0	5	0	0	0	0	1
BRCA_TCGA-BH-A0BP	4	14	7	14	5	14	0	1	8	0	2	16	6	39	16	38	0	9	3
BRCA_TCGA-BH-A0BQ	0	2	2	1	2	6	0	0	2	0	0	2	0	2	0	0	0	0	11
BRCA_TCGA-BH-A0BS	0	2	1	0	0	2	0	0	2	0	3	6	0	1	1	5	0	0	0
BRCA_TCGA-BH-A0BT	1	1	7	3	0	9	0	0	2	0	4	3	0	1	8	7	0	0	2
BRCA_TCGA-BH-A0BV	0	3	1	1	2	0	0	0	0	0	1	8	0	2	5	1	0	0	0
BRCA_TCGA-BH-A0BW	0	7	2	2	6	0	2	3	7	3	6	5	2	12	4	20	3	4	15
BRCA_TCGA-BH-A0BZ	12	4	12	2	17	5	5	2	10	7	9	30	8	35	3	106	4	19	6
BRCA_TCGA-BH-A0C0	0	1	2	2	3	5	0	7	0	0	4	0	0	2	5	14	0	1	2
BRCA_TCGA-BH-A0C1	0	6	7	2	6	2	0	0	7	0	0	4	0	4	5	0	2	3	2
BRCA_TCGA-BH-A0C3	0	4	0	1	0	0	0	0	1	4	1	1	3	0	0	2	0	1	0
BRCA_TCGA-BH-A0C7	0	15	2	2	9	0	2	3	0	1	1	3	0	3	1	7	0	7	2
BRCA_TCGA-BH-A0DD	0	7	6	3	0	0	0	0	0	4	1	4	0	4	4	3	0	0	1
BRCA_TCGA-BH-A0DE	1	3	0	1	4	0	0	0	0	2	0	11	2	0	4	4	0	1	0
BRCA_TCGA-BH-A0DG	2	1	0	6	7	0	0	2	1	1	1	4	1	11	1	5	2	2	0
BRCA_TCGA-BH-A0DH	0	9	3	4	0	2	2	0	7	0	3	1	0	8	8	0	1	1	3
BRCA_TCGA-BH-A0DI	0	7	5	0	0	0	1	1	0	1	1	0	0	14	9	11	0	9	3
BRCA_TCGA-BH-A0DK	3	7	0	1	0	3	0	0	1	5	2	0	3	4	4	6	0	12	2
BRCA_TCGA-BH-A0DL	1	4	7	3	4	10	0	0	1	0	3	0	2	13	7	1	4	0	5
BRCA_TCGA-BH-A0DO	0	1	4	3	0	0	0	0	4	1	0	4	0	5	0	3	0	0	5
BRCA_TCGA-BH-A0DP	0	0	0	1	0	6	0	0	1	0	1	1	0	1	4	3	0	1	0
BRCA_TCGA-BH-A0DQ	0	2	1	1	7	9	0	0	0	2	0	6	3	2	0	0	0	0	2
BRCA_TCGA-BH-A0DT	0	5	0	0	0	0	2	0	2	0	0	1	0	1	2	2	0	0	0
BRCA_TCGA-BH-A0DV	0	0	0	0	3	0	0	0	0	1	0	2	0	2	2	2	1	0	2
BRCA_TCGA-BH-A0DX	0	8	2	4	0	0	0	0	1	1	0	0	0	26	17	0	0	10	8
BRCA_TCGA-BH-A0DZ	5	3	0	15	0	0	4	0	0	0	1	0	2	142	44	0	0	1	0
BRCA_TCGA-BH-A0E0	0	6	1	2	0	2	0	2	0	0	0	2	0	1	2	3	3	0	0
BRCA_TCGA-BH-A0E1	0	5	0	3	2	0	0	0	0	0	0	0	0	5	0	2	1	0	1
BRCA_TCGA-BH-A0E9	0	3	4	1	0	6	0	2	3	0	1	0	2	0	3	3	0	0	0
BRCA_TCGA-BH-A0EA	0	2	3	3	6	0	0	0	2	0	1	3	0	3	2	2	0	1	4
BRCA_TCGA-BH-A0EI	0	3	2	1	0	4	0	0	2	1	2	5	0	0	2	0	0	2	0
BRCA_TCGA-BH-A0H3	0	5	0	0	0	0	0	0	1	0	0	3	0	0	2	3	0	1	2
BRCA_TCGA-BH-A0H5	7	0	1	15	0	0	0	0	0	0	0	5	0	89	48	0	0	4	0
BRCA_TCGA-BH-A0H7	1	4	0	1	0	0	0	1	0	2	2	0	0	5	0	1	0	0	0
BRCA_TCGA-BH-A0H9	0	1	1	1	0	0	0	0	0	3	0	1	0	1	4	5	4	1	1
BRCA_TCGA-BH-A0HA	0	73	34	11	46	0	0	8	22	81	36	11	0	26	15	0	5	5	9
BRCA_TCGA-BH-A0HI	3	4	0	2	1	5	2	0	0	3	0	4	0	4	4	1	0	2	0
BRCA_TCGA-BH-A0HK	0	4	5	5	0	0	0	0	4	0	0	2	0	16	22	0	0	3	2
BRCA_TCGA-BH-A0HN	0	5	1	4	0	8	0	0	0	0	1	2	2	3	3	4	0	0	1
BRCA_TCGA-BH-A0HP	13	8	1	18	0	0	0	3	0	0	0	0	0	211	103	0	0	0	0
BRCA_TCGA-BH-A0RX	0	11	2	6	0	15	0	0	4	0	3	0	0	3	2	3	0	0	0
BRCA_TCGA-BH-A0W3	1	1	0	0	0	7	0	0	1	0	3	3	0	3	0	3	0	0	1
BRCA_TCGA-BH-A0W4	0	5	0	5	0	0	2	0	1	2	3	0	0	5	6	8	0	0	2
BRCA_TCGA-BH-A0W5	1	3	3	2	0	5	0	0	2	2	2	1	3	1	0	4	0	0	0
BRCA_TCGA-BH-A0W7	4	1	0	15	0	2	0	0	2	0	7	2	0	176	52	0	0	0	0
BRCA_TCGA-BH-A0WA	2	4	0	0	0	7	0	3	10	0	6	5	0	6	20	32	0	3	15
BRCA_TCGA-BH-A18F	3	12	0	7	5	0	0	2	0	0	1	4	0	6	18	4	0	5	0
BRCA_TCGA-BH-A18G	20	202	179	41	223	97	0	105	195	301	209	56	7	10	0	0	15	0	8
BRCA_TCGA-BH-A18H	0	3	0	2	9	2	0	0	5	2	2	2	0	6	13	5	2	1	0
BRCA_TCGA-BH-A18I	0	3	5	4	0	8	0	0	2	0	0	0	0	3	3	1	0	2	0
BRCA_TCGA-BH-A18J	2	1	4	2	1	2	2	1	2	3	1	0	0	54	25	0	0	7	4
BRCA_TCGA-BH-A18K	1	0	2	4	0	6	0	0	2	3	1	8	0	19	9	8	2	0	3
BRCA_TCGA-BH-A18L	1	11	7	3	0	0	1	3	3	4	0	6	0	2	3	7	0	9	5
BRCA_TCGA-BH-A18M	0	1	1	1	2	8	0	0	0	0	0	0	0	3	2	0	0	0	0
BRCA_TCGA-BH-A18N	0	7	6	2	0	0	0	0	1	5	5	0	0	1	0	11	1	2	2
BRCA_TCGA-BH-A18P	1	10	4	34	0	0	0	5	8	0	0	0	0	243	133	0	0	0	0
BRCA_TCGA-BH-A18Q	1	3	0	0	8	2	0	3	5	0	3	9	3	7	2	43	2	8	8
BRCA_TCGA-BH-A18R	1	3	0	1	0	0	2	0	3	0	6	0	1	3	6	16	0	0	0
BRCA_TCGA-BH-A18S	0	0	2	2	0	0	0	1	3	4	1	1	1	2	0	5	0	3	12
BRCA_TCGA-BH-A18T	1	3	1	2	8	7	2	5	5	4	0	2	2	14	2	44	0	0	0
BRCA_TCGA-BH-A18U	0	10	4	6	0	17	0	5	11	0	7	4	0	52	37	10	0	10	5
BRCA_TCGA-BH-A18V	10	3	0	4	0	0	2	3	8	0	13	3	4	80	11	89	5	15	0
BRCA_TCGA-BH-A1EO	0	12	6	3	0	6	0	0	0	0	0	4	0	3	4	7	0	2	3
BRCA_TCGA-BH-A1ET	3	3	2	1	5	5	2	0	0	2	2	3	0	1	0	4	0	0	0
BRCA_TCGA-BH-A1EU	0	8	0	1	0	0	0	0	1	5	3	1	0	0	4	2	0	5	4
BRCA_TCGA-BH-A1EV	3	4	4	11	0	17	0	0	5	3	2	0	0	47	21	12	0	0	0
BRCA_TCGA-BH-A1EW	0	1	1	2	0	0	0	0	3	1	2	1	1	0	7	1	0	1	0
BRCA_TCGA-BH-A1EX	0	4	3	5	0	1	0	0	1	4	3	4	0	0	0	8	0	2	0
BRCA_TCGA-BH-A1EY	0	5	1	5	2	3	0	0	3	5	2	2	0	16	1	5	0	5	0
BRCA_TCGA-BH-A1F0	3	1	3	4	0	8	0	3	0	2	4	15	0	19	2	19	0	9	3
BRCA_TCGA-BH-A1F2	3	7	4	3	2	15	0	2	1	2	0	5	0	11	9	4	0	3	0
BRCA_TCGA-BH-A1F5	0	5	0	3	0	8	0	1	1	0	0	7	0	1	5	0	0	2	11
BRCA_TCGA-BH-A1F6	0	8	4	1	7	3	2	0	0	0	1	3	0	5	4	10	2	0	3
BRCA_TCGA-BH-A1F8	5	8	0	11	2	9	0	0	5	0	1	1	1	85	55	0	0	4	5
BRCA_TCGA-BH-A1FC	2	13	7	4	0	0	4	1	7	8	0	2	4	28	9	21	5	4	11
BRCA_TCGA-BH-A1FE	1	0	2	2	0	1	0	0	0	1	0	7	1	3	3	1	1	1	2
BRCA_TCGA-BH-A1FG	0	3	2	1	0	0	2	2	4	0	1	1	0	1	0	1	0	0	3
BRCA_TCGA-BH-A1FH	0	10	1	1	0	0	0	0	4	0	0	0	1	0	9	4	1	1	1
BRCA_TCGA-BH-A1FJ	0	12	0	0	5	0	2	0	1	0	0	11	2	0	6	2	0	2	2
BRCA_TCGA-BH-A1FL	0	1	3	2	0	3	0	0	0	0	3	8	0	0	3	0	0	3	0
BRCA_TCGA-BH-A1FM	0	8	5	7	0	1	0	0	2	2	0	0	6	13	7	6	0	3	2
BRCA_TCGA-BH-A1FN	1	0	2	1	0	5	2	0	3	0	4	12	7	66	5	9	4	10	15
BRCA_TCGA-BH-A1FR	0	2	2	1	0	1	0	0	1	0	2	0	0	1	1	6	0	0	0
BRCA_TCGA-BH-A1FU	2	5	5	6	5	0	3	1	5	7	9	10	0	17	3	23	5	6	6
BRCA_TCGA-BH-A201	3	0	1	2	0	4	0	2	3	1	4	0	2	1	3	1	0	0	0
BRCA_TCGA-BH-A202	3	4	2	1	0	2	0	0	4	3	1	0	1	2	1	2	0	2	0
BRCA_TCGA-BH-A203	0	17	6	9	0	7	0	4	8	0	3	6	0	19	5	4	0	0	11
BRCA_TCGA-BH-A204	3	5	4	3	0	0	0	1	4	2	1	7	0	5	3	11	0	1	2
BRCA_TCGA-BH-A208	0	7	0	4	0	8	0	0	2	0	4	9	0	28	11	9	0	0	0
BRCA_TCGA-BH-A209	1	1	0	8	2	4	0	0	1	0	0	5	0	75	14	0	0	5	3
BRCA_TCGA-BH-A28Q	0	3	4	1	0	6	0	0	4	0	0	1	0	2	1	2	2	0	0
BRCA_TCGA-BH-A2L8	7	8	0	32	0	0	0	0	8	0	0	0	0	405	168	0	0	0	0
BRCA_TCGA-BH-A42U	0	3	0	3	0	0	0	0	0	0	1	0	3	8	12	1	0	1	0
BRCA_TCGA-BH-A42V	0	3	0	5	0	4	0	0	1	1	0	0	0	27	14	0	0	0	0
BRCA_TCGA-BH-A5IZ	2	13	1	0	2	0	0	3	1	5	1	4	0	5	14	28	1	8	8
BRCA_TCGA-BH-A5J0	1	5	6	10	0	2	2	1	0	1	3	0	0	29	36	0	0	3	3
BRCA_TCGA-BH-A6R8	0	10	2	3	3	0	0	0	2	1	1	0	1	2	5	6	0	1	0
BRCA_TCGA-BH-A6R9	1	1	1	2	0	4	0	0	1	0	1	1	2	0	2	9	0	0	0
BRCA_TCGA-BH-A8FY	0	1	5	0	0	0	0	0	3	0	3	5	2	3	8	14	0	0	12
BRCA_TCGA-BH-A8FZ	1	4	6	1	6	1	2	1	1	5	3	0	2	9	4	25	4	0	16
BRCA_TCGA-BH-A8G0	0	1	1	2	2	6	0	0	0	1	1	0	0	0	1	0	1	0	1
BRCA_TCGA-BH-AB28	0	5	6	2	3	0	2	3	3	0	1	0	0	2	6	0	2	2	6
BRCA_TCGA-C8-A12K	2	7	3	0	5	0	0	1	2	3	7	17	0	58	0	51	2	6	9
BRCA_TCGA-C8-A12L	0	4	4	3	8	0	0	0	7	0	0	10	6	6	0	31	0	4	6
BRCA_TCGA-C8-A12M	0	12	5	8	8	3	6	3	3	1	2	7	0	1	3	16	0	0	4
BRCA_TCGA-C8-A12N	1	5	1	0	0	6	0	0	3	3	0	0	0	4	0	2	0	2	0
BRCA_TCGA-C8-A12O	0	14	1	3	0	8	0	1	0	0	1	2	0	1	5	4	0	0	9
BRCA_TCGA-C8-A12P	3	10	4	13	0	12	2	0	7	3	2	1	0	80	33	6	5	11	10
BRCA_TCGA-C8-A12Q	4	0	3	13	2	6	0	1	0	3	4	3	5	57	27	0	1	9	1
BRCA_TCGA-C8-A12T	8	12	1	9	4	0	0	1	4	0	0	2	0	133	35	3	0	0	2
BRCA_TCGA-C8-A12U	0	8	0	0	7	19	0	0	0	0	1	6	0	9	1	7	0	1	2
BRCA_TCGA-C8-A12V	0	4	0	2	3	0	2	4	5	0	2	1	2	4	0	11	2	0	10
BRCA_TCGA-C8-A12W	1	24	1	7	4	8	0	0	3	5	1	3	2	5	0	10	0	0	3
BRCA_TCGA-C8-A12X	0	4	6	4	0	23	0	1	4	0	2	6	0	1	3	0	4	5	2
BRCA_TCGA-C8-A12Y	0	8	9	2	0	0	2	3	5	3	5	0	1	2	1	1	0	3	1
BRCA_TCGA-C8-A12Z	1	7	2	3	3	6	0	0	3	1	1	2	0	13	11	8	0	0	0
BRCA_TCGA-C8-A130	0	14	4	6	0	4	0	0	1	1	7	2	1	7	0	4	2	1	0
BRCA_TCGA-C8-A131	0	1	8	7	0	0	0	0	6	2	3	6	3	1	11	9	2	5	10
BRCA_TCGA-C8-A132	1	9	1	1	1	0	0	0	6	2	1	5	0	29	2	17	2	0	7
BRCA_TCGA-C8-A133	1	0	0	2	0	0	0	3	3	0	3	4	2	2	3	2	1	4	3
BRCA_TCGA-C8-A134	8	4	1	2	5	0	2	5	4	0	6	14	7	6	0	43	0	0	10
BRCA_TCGA-C8-A135	1	15	8	4	9	5	0	1	0	4	0	0	2	9	0	7	0	4	8
BRCA_TCGA-C8-A137	0	9	1	7	0	0	0	0	0	2	0	1	0	18	12	1	2	6	3
BRCA_TCGA-C8-A138	4	8	0	1	0	5	0	3	2	4	0	4	0	0	4	7	0	10	0
BRCA_TCGA-C8-A1HE	0	1	2	3	0	6	0	0	2	0	2	4	0	18	13	0	0	0	3
BRCA_TCGA-C8-A1HF	1	2	2	2	1	3	1	1	0	0	3	2	0	10	6	2	0	0	3
BRCA_TCGA-C8-A1HG	0	8	6	4	0	15	0	0	2	4	2	3	3	4	7	10	0	1	0
BRCA_TCGA-C8-A1HI	1	17	0	1	10	0	0	0	4	2	0	0	3	13	6	10	0	2	3
BRCA_TCGA-C8-A1HJ	3	3	3	2	5	10	0	4	6	3	8	0	8	13	0	48	4	3	1
BRCA_TCGA-C8-A1HK	3	0	3	6	10	10	0	0	0	1	1	2	2	26	0	8	0	1	0
BRCA_TCGA-C8-A1HL	1	1	5	1	0	1	2	1	4	0	2	10	2	0	0	4	0	3	0
BRCA_TCGA-C8-A1HM	12	12	7	21	0	0	1	0	6	0	8	14	2	281	43	26	1	14	0
BRCA_TCGA-C8-A1HN	1	14	2	1	2	3	2	0	2	0	7	7	3	2	6	11	0	7	0
BRCA_TCGA-C8-A1HO	3	6	0	2	6	2	2	2	0	1	0	5	0	8	5	2	0	4	1
BRCA_TCGA-C8-A26V	1	3	5	7	1	4	0	0	0	0	7	6	0	45	1	8	2	4	2
BRCA_TCGA-C8-A26W	0	4	2	8	2	0	0	0	1	3	4	5	1	17	14	6	0	0	2
BRCA_TCGA-C8-A26X	1	0	5	4	0	25	0	0	5	0	3	7	8	4	2	2	1	8	0
BRCA_TCGA-C8-A26Y	18	3	4	42	0	0	5	2	7	8	4	0	0	496	165	0	21	113	28
BRCA_TCGA-C8-A26Z	1	5	6	3	0	11	0	0	2	0	0	2	1	0	4	9	1	4	0
BRCA_TCGA-C8-A273	1	6	0	2	3	0	0	0	0	0	1	2	1	1	0	5	1	1	0
BRCA_TCGA-C8-A274	2	4	8	13	3	2	0	2	6	1	3	0	3	145	57	0	0	6	26
BRCA_TCGA-C8-A275	0	5	1	10	7	5	0	0	4	0	1	2	0	78	21	6	2	0	0
BRCA_TCGA-C8-A278	1	10	0	4	6	0	0	0	1	2	1	0	0	12	4	11	0	1	0
BRCA_TCGA-C8-A27A	4	3	2	4	0	2	2	0	0	0	2	6	0	5	2	6	0	0	2
BRCA_TCGA-C8-A27B	3	2	4	4	6	0	1	2	0	2	5	5	0	67	0	54	5	2	0
BRCA_TCGA-C8-A3M7	5	10	6	19	0	7	0	3	4	0	4	0	0	75	85	0	0	0	3
BRCA_TCGA-C8-A3M8	0	6	6	3	0	0	0	0	2	5	5	9	0	11	0	11	0	1	3
BRCA_TCGA-C8-A8HP	4	1	7	24	0	4	0	1	10	0	0	0	0	151	52	0	0	11	8
BRCA_TCGA-C8-A8HQ	2	19	0	36	0	1	0	6	3	0	3	0	0	217	76	0	1	0	8
BRCA_TCGA-C8-A8HR	0	3	4	2	0	9	4	0	0	1	5	6	2	3	4	13	4	0	0
BRCA_TCGA-C8-A9FZ	0	6	4	1	3	0	0	0	0	2	0	0	0	4	0	9	0	0	0
BRCA_TCGA-D8-A13Y	1	7	1	3	5	1	2	0	3	2	6	7	3	15	13	9	2	0	2
BRCA_TCGA-D8-A13Z	1	5	4	4	0	20	1	0	7	0	0	2	0	14	0	30	6	8	1
BRCA_TCGA-D8-A140	0	13	10	5	8	0	2	1	11	8	0	5	4	9	29	6	0	14	9
BRCA_TCGA-D8-A141	0	1	1	1	0	8	0	0	1	0	0	2	0	0	1	5	0	1	0
BRCA_TCGA-D8-A142	1	30	6	7	0	0	6	3	2	9	3	21	6	15	2	43	6	6	0
BRCA_TCGA-D8-A143	0	8	3	0	0	3	0	0	4	0	1	5	1	2	3	20	1	4	6
BRCA_TCGA-D8-A145	0	5	5	1	0	6	0	0	3	3	3	4	0	4	0	9	0	0	4
BRCA_TCGA-D8-A146	0	6	4	4	0	0	0	0	3	5	2	4	1	0	8	1	1	1	1
BRCA_TCGA-D8-A147	2	5	0	6	0	0	1	5	14	2	3	2	10	51	11	66	11	2	9
BRCA_TCGA-D8-A1J8	20	43	40	59	72	0	0	21	61	9	38	11	0	403	149	0	0	1	34
BRCA_TCGA-D8-A1J9	11	0	3	27	0	0	0	0	2	0	3	0	0	162	51	0	5	5	9
BRCA_TCGA-D8-A1JB	1	3	0	2	6	4	0	2	1	1	2	8	1	6	3	17	4	2	0
BRCA_TCGA-D8-A1JC	2	12	0	9	0	0	0	1	6	0	2	0	1	46	26	7	1	0	9
BRCA_TCGA-D8-A1JD	3	4	2	4	10	0	0	3	11	0	3	10	0	21	2	29	3	3	14
BRCA_TCGA-D8-A1JE	0	7	1	0	5	0	2	0	1	0	4	0	5	2	2	1	0	2	8
BRCA_TCGA-D8-A1JF	0	7	3	2	12	0	2	0	2	0	3	0	0	4	2	9	0	0	3
BRCA_TCGA-D8-A1JG	32	18	6	19	15	2	16	1	0	0	1	8	8	12	7	19	1	2	2
BRCA_TCGA-D8-A1JH	0	1	2	1	0	1	0	1	0	1	2	0	2	1	2	4	0	0	6
BRCA_TCGA-D8-A1JI	0	3	0	2	5	0	0	0	4	1	4	9	3	0	5	0	0	5	1
BRCA_TCGA-D8-A1JJ	0	3	5	8	0	8	0	0	7	1	3	0	0	33	19	0	3	0	8
BRCA_TCGA-D8-A1JK	3	0	6	3	11	4	11	8	9	10	12	30	23	15	21	32	5	16	30
BRCA_TCGA-D8-A1JL	3	6	1	4	12	0	0	3	2	7	8	11	1	12	1	44	3	4	5
BRCA_TCGA-D8-A1JM	0	6	0	4	0	10	0	0	4	0	2	0	3	2	2	11	0	9	0
BRCA_TCGA-D8-A1JN	6	4	4	23	0	7	1	0	0	0	1	0	0	86	61	0	0	10	5
BRCA_TCGA-D8-A1JP	1	0	2	2	1	0	4	0	7	13	3	12	3	10	5	44	6	13	9
BRCA_TCGA-D8-A1JS	1	4	1	1	0	0	0	0	2	2	1	0	0	0	6	4	0	3	4
BRCA_TCGA-D8-A1JT	0	8	2	1	3	0	0	2	0	1	0	11	0	0	0	11	0	1	1
BRCA_TCGA-D8-A1JU	0	3	0	1	0	0	0	0	1	5	1	2	0	1	0	3	1	0	2
BRCA_TCGA-D8-A1X5	7	9	4	2	0	6	0	3	0	8	0	2	3	7	3	5	3	4	0
BRCA_TCGA-D8-A1X6	3	2	5	1	0	16	0	0	3	0	0	2	0	1	2	6	0	0	1
BRCA_TCGA-D8-A1X7	0	5	0	2	5	0	0	0	0	0	0	2	1	0	7	6	0	4	0
BRCA_TCGA-D8-A1X9	3	5	0	0	11	0	0	7	3	3	4	5	0	9	0	17	1	27	7
BRCA_TCGA-D8-A1XA	0	3	0	2	0	8	0	0	0	4	1	2	0	0	2	0	0	6	0
BRCA_TCGA-D8-A1XB	0	5	9	4	1	3	0	1	1	0	4	2	0	5	4	1	0	6	4
BRCA_TCGA-D8-A1XC	2	0	3	1	4	17	0	0	2	0	0	0	1	0	4	0	0	0	0
BRCA_TCGA-D8-A1XF	0	6	6	6	0	6	0	2	1	0	0	0	11	2	4	5	0	2	0
BRCA_TCGA-D8-A1XG	0	1	1	2	7	0	0	3	0	0	3	0	1	1	0	7	0	0	1
BRCA_TCGA-D8-A1XK	0	64	62	6	0	19	17	28	31	507	300	0	11	10	0	83	45	13	104
BRCA_TCGA-D8-A1XL	3	5	4	4	0	1	2	3	4	4	8	3	8	8	2	33	2	2	14
BRCA_TCGA-D8-A1XM	1	11	0	8	0	0	0	0	1	0	0	3	0	11	18	0	0	10	1
BRCA_TCGA-D8-A1XO	0	3	1	0	1	3	0	0	3	0	0	1	0	8	2	0	1	3	3
BRCA_TCGA-D8-A1XQ	3	115	55	26	88	29	10	35	77	144	159	35	13	36	8	103	21	16	58
