Samples	Stability	Total Mutations
SBS96A	0.5957271451020546	386
SBS96B	0.28253883021504056	350
SBS96C	0.6986462184928023	348
SBS96D	0.6597982083843839	317
SBS96E	0.7818428083724854	293
SBS96F	0.8827467885677681	254
SBS96G	0.8971377288064625	249
SBS96H	-0.7236085653158835	218
SBS96I	-0.4716064681536659	200
SBS96J	0.5776359665050361	181
