Signatures	Stability	Total Mutations
SBS96A	0.42474043954345875	366
SBS96B	0.8976984151776499	356
SBS96C	0.7504531073940508	350
SBS96D	0.9897303225986013	272
SBS96E	0.8256455718317287	268
SBS96F	0.5565748356825477	246
SBS96G	0.16671534242735697	232
SBS96H	0.9331975073052217	229
SBS96I	0.37087811134188403	221
SBS96J	0.28678109748565556	140
SBS96K	-0.7076653764470999	117
